Component,WAPE,MAE,RMSE
LongTerm,0.727773718798401,23.811004031242128,45.85194935797013
ShortTerm,0.7644922409320314,25.01234567901234,46.20934670598392
DailyPattern,0.7985607147910815,26.12698412698413,50.12813419119598
