Region,TaskType,WAPE,MAE,RMSE,zero_ratio,mean,std,autocorrelation_lag24,autocorrelation_lag168
RegionA,RealTimeInference,0.6827853363567649,5.120890022675737,5.992957799257812,0.08120748299319729,9.86267006802721,7.036186907982907,-0.006927324845509562,-0.009634426407448484
RegionA,BatchInference,0.7486742728587498,11.885204081632653,15.458610034035,0.24872448979591838,18.78061224489796,17.366531802177445,-0.0026427079155524947,0.005768380941745614
RegionA,AITraining,1.731510174568743,33.2594246031746,39.2853026140194,0.6938775510204082,26.37329931972789,47.889773182894146,-0.003796603422815072,0.03457637157136141
RegionB,RealTimeInference,0.578474765974766,5.640128968253968,7.476863998513519,0.11267006802721088,8.318452380952381,6.39423632258716,-0.01339523430384127,0.00838860857528613
RegionB,BatchInference,1.0355442176870748,16.39611678004535,20.054301346459827,0.2457482993197279,18.438350340136054,16.77100496340944,-0.0159857332240306,0.0010770127092025975
RegionB,AITraining,1.1844490110859158,42.640164399092974,60.507683732889944,0.6938775510204082,25.920493197278912,46.95739190861005,-0.02239212381949625,0.0017667985786557945
RegionC,RealTimeInference,0.6437204984034429,5.2570507369614505,6.669063254172266,0.1679421768707483,7.084608843537415,5.860777140493744,0.026559230451588377,0.015613998756405595
RegionC,BatchInference,0.8582498453927025,9.834112811791384,11.553079939418073,0.3388605442176871,14.509353741496598,15.051863206158492,-0.005994505655361276,0.019674101929071403
RegionC,AITraining,1.646299349434097,31.41687925170068,43.50580131330988,0.7087585034013606,24.667091836734695,45.64038079628237,-0.014337287490718031,-0.014526409545322621
RegionD,RealTimeInference,2.1837949465500484,1.2738803854875282,2.426225943030602,0.8116496598639455,0.828656462585034,2.0333056505052562,0.01562534688036306,-0.0058539252713649525
RegionD,BatchInference,0.6054825092092173,12.765589569161,17.80630437373359,0.2593537414965986,18.812925170068027,17.4000264762831,0.008988252487786603,-0.00026946199814356766
RegionD,AITraining,0.4507932526244329,64.18168934240363,81.11534920228715,0.10034013605442177,170.34013605442178,125.1586949968512,0.009593883017496821,-0.008296260690596463
RegionE,RealTimeInference,1.634920634920635,1.4305555555555556,1.8906471075430153,0.76828231292517,1.0952380952380953,2.3381873708935084,-0.011010819236684092,-0.026506492692040674
RegionE,BatchInference,0.923630179344465,10.58326247165533,13.06551416241098,0.3958333333333333,12.249574829931973,13.653861486506292,0.01008895256262647,0.011311395683617241
RegionE,AITraining,0.8141922207350147,92.07157029478458,106.07793843726161,0.17687074829931973,121.21471088435374,100.73681479488248,-0.01801173914071761,0.029050936513866206
RegionF,RealTimeInference,1.5067287784679089,1.4439484126984128,2.3214439896325842,0.8154761904761905,0.8324829931972789,2.043739226325358,-0.031618283074883485,0.005652366643790786
RegionF,BatchInference,0.8900882667116434,8.975056689342404,11.50789707666133,0.42304421768707484,11.350340136054422,13.362287647585816,-0.02693480634359573,-0.010426799247407621
RegionF,AITraining,0.5113487421879717,74.42254818594104,106.61968608772709,0.17559523809523808,122.42942176870748,103.65819904666307,0.0003217529810966945,0.006968214262989469
