Level,Region,TaskType,WAPE,MAE,RMSE
overall,,,0.6565440447611345,26.518604252400547,53.78677216074097
region,RegionA,,1.1085159285159285,20.014870931537597,30.493033072774182
region,RegionB,,0.9083608847333656,18.154601571268238,27.676308316490505
region,RegionC,,1.128753792139619,13.936973905723907,20.19950812833825
region,RegionD,,0.5827780548147828,33.93872755331089,60.1446732113715
region,RegionE,,0.5836677324289455,37.95461560044893,80.48929687006482
region,RegionF,,0.5111306487165768,35.111835952113736,71.8217884339782
task_type,,RealTimeInference,0.7002498530276308,3.0635931069958846,4.277036564534541
task_type,,BatchInference,0.708170881612616,12.7028151889263,17.106456849715503
task_type,,AITraining,0.6452426413616354,63.78940446127946,91.47746537092529
region_task_type,RegionA,RealTimeInference,0.6411308598808598,5.556467452300786,6.2326663494664
region_task_type,RegionA,BatchInference,0.7027339673538505,15.020938552188554,20.602225756934118
region_task_type,RegionA,AITraining,1.635946395445532,39.46720679012346,48.23046093464637
region_task_type,RegionB,RealTimeInference,0.5052498670919724,3.9998947811447816,4.966519517155388
region_task_type,RegionB,BatchInference,0.6318785578747628,13.875,19.138516521490036
region_task_type,RegionB,AITraining,1.2162518537172275,36.58890993265993,43.66903932227834
region_task_type,RegionC,RealTimeInference,0.672790943624277,4.373141133557801,5.775349891362506
region_task_type,RegionC,BatchInference,0.7506701317380928,9.664877946127946,11.507853867252475
region_task_type,RegionC,AITraining,1.572051092687885,27.77290263748597,32.53113921895005
region_task_type,RegionD,RealTimeInference,1.3304713804713804,1.6630892255892256,2.456377693253251
region_task_type,RegionD,BatchInference,0.6579670071290182,14.722011784511784,18.623727615131838
region_task_type,RegionD,AITraining,0.5654566904566903,85.43108164983164,102.46593641524713
region_task_type,RegionE,RealTimeInference,1.352584989681764,1.747088945005612,2.1203915476999455
region_task_type,RegionE,BatchInference,0.692786450362208,13.336139169472503,18.825215783773274
region_task_type,RegionE,AITraining,0.5659429096406895,98.78061868686869,138.11841268379496
region_task_type,RegionF,RealTimeInference,1.667003367003367,1.0418771043771045,1.5366478623959132
region_task_type,RegionF,BatchInference,0.9802134823411419,9.597923681257015,11.462460237913833
region_task_type,RegionF,AITraining,0.4839644313664757,94.69570707070709,123.8602381727349
