date,slot,price_yuan_per_kwh,grid_purchase_plan_kwh,load_actual_kwh,pv_actual_kwh,soc_real_start_kwh,soc_real_end_kwh,plan_terminal_soc_kwh,x_real_kwh,y_real_kwh,q_real_kwh,z_real_kwh,emergency_purchase_kwh,planned_cost_slot_yuan,emergency_cost_slot_yuan,total_cost_slot_yuan,effective_contract_kwh,load_forecast_kwh,pv_forecast_kwh,run_label,rolling_primary_status,rolling_secondary_status,rolling_tertiary_status,rolling_primary_star,rolling_terminal_gap_star,rolling_max_violation,rolling_tertiary_throughput_star,source_time
2025-03-21,34,0.3713,1277.5931916666668,465.7543333333333,1.02755,4031.44843104422,4763.02819854422,1199.9999999999998,812.8664083333335,464.7267833333333,0.0,0.0,0.0,474.3703520658334,0.0,474.3703520658334,1277.5931916666668,436.26165,0.0,TEST / REFERENCE ONLY,optimal,optimal,optimal,0.0,0.0,1e-07,22981.842926874597,05:40:00
2025-03-21,35,0.5708,0.0,473.1871833333333,0.0,4763.02819854422,4239.984212962963,1199.9999999999998,0.0,0.0,0.0,470.73958702313075,2.447596310202698,0.0,6.9854398693185,6.9854398693185,0.0,452.85452499999997,0.0,TEST / REFERENCE ONLY,optimal,optimal,optimal,6.9854398693185,0.0,1.0000000028043132e-07,22290.00774164822,05:50:00
2025-03-21,36,0.9099,0.0,465.435,0.0,4239.984212962963,3722.834212962963,1199.9999999999998,0.0,0.0,0.0,465.43499999999995,0.0,0.0,0.0,0.0,0.0,472.265,0.0,TEST / REFERENCE ONLY,optimal,optimal,optimal,0.0,0.0,1e-07,21751.785978289186,06:00:00
2025-03-21,37,0.9368,0.0,449.4866,28.639699999999998,3722.834212962963,3255.2265462962964,1199.9999999999998,0.0,0.0,0.0,420.8469,0.0,0.0,0.0,0.0,0.0,452.5690583333333,43.53281127681804,TEST / REFERENCE ONLY,optimal,optimal,optimal,0.0,0.0,1e-07,20839.818196258093,06:10:00
2025-03-21,38,0.8758,0.0,446.8888,68.20651666666666,3255.2265462962964,2834.4684537037037,1199.9999999999998,0.0,0.0,0.0,378.6822833333333,0.0,0.0,0.0,0.0,0.0,443.01373333333333,87.06562255363608,TEST / REFERENCE ONLY,optimal,optimal,optimal,0.0,0.0,1e-07,20422.730913043953,06:20:00
2025-03-21,39,0.8759,0.0,458.0383333333333,110.27499999999999,2834.4684537037037,2448.06475,1199.9999999999998,0.0,0.0,0.0,347.7633333333333,0.0,0.0,0.0,0.0,0.0,449.7366666666667,130.5984338304541,TEST / REFERENCE ONLY,optimal,optimal,optimal,0.0,0.0,1e-07,20065.584154889406,06:30:00
2025-03-21,40,0.8601,0.0,469.32759999999996,158.66258333333332,2448.06475,2102.881398148148,1199.9999999999998,0.0,0.0,0.0,310.66501666666665,0.0,0.0,0.0,0.0,0.0,438.96586666666667,174.13124510727215,TEST / REFERENCE ONLY,optimal,optimal,optimal,0.0,0.0,1e-07,19781.025773646306,06:40:00
2025-03-21,41,0.8442,0.0,506.9368,204.43355,2102.881398148148,1766.766675925926,1199.9999999999998,0.0,0.0,0.0,302.50325,0.0,0.0,0.0,0.0,0.0,477.96925,217.66405638409015,TEST / REFERENCE ONLY,optimal,optimal,optimal,0.0,0.0,1e-07,19529.615880425765,06:50:00
2025-03-21,42,0.8334,0.0,546.5216666666666,252.525,1766.766675925926,1440.103712962963,1199.9999999999998,0.0,0.0,0.0,293.99666666666667,0.0,0.0,0.0,0.0,0.0,547.9708333333333,261.1968676609082,TEST / REFERENCE ONLY,optimal,optimal,optimal,0.0,0.0,1e-07,19209.55160485741,07:00:00
2025-03-21,43,0.8092,40.926737447513005,534.4570666666666,316.48929999999996,1440.103712962963,1243.3914582750147,1199.9999999999998,0.0,40.926737447513005,0.0,177.04102921915364,0.0,33.117915942527524,0.0,33.117915942527524,40.926737447513005,553.6562916666667,330.01467976181254,TEST / REFERENCE ONLY,optimal,optimal,optimal,0.0,0.0,1e-07,18870.2800969207,07:10:00
2025-03-21,44,0.7972,176.8949784058396,538.6449333333333,376.76628333333326,1243.3914582750147,1256.9061538402702,1199.9999999999998,15.016328405839602,161.87865,0.0,0.0,0.0,141.02067678513532,0.0,141.02067678513532,176.8949784058396,539.4285083333333,398.8324918627169,TEST / REFERENCE ONLY,optimal,optimal,optimal,0.0,0.0,1e-07,18673.56784223275,07:20:00
2025-03-21,45,0.7644,100.82901991151863,559.8199999999999,436.20625,1256.9061538402702,1231.589787075291,1199.9999999999998,0.0,100.82901991151863,0.0,22.784730088481297,0.0,77.07370282036483,0.0,77.07370282036483,100.82901991151863,534.3558333333333,467.65030396362124,TEST / REFERENCE ONLY,optimal,optimal,optimal,0.0,0.0,1e-07,18710.685880197452,07:30:00
2025-03-21,46,0.6899,14.808928083863975,533.3480166666666,517.3082833333333,1231.589787075291,1230.2222256869918,1199.9999999999998,0.0,14.808928083863975,0.0,1.230805249469313,0.0,10.216679485057757,0.0,10.216679485057757,14.808928083863975,523.7250583333332,536.4681160645256,TEST / REFERENCE ONLY,optimal,optimal,optimal,0.0,0.0,1e-07,18688.104636209075,07:40:00
2025-03-21,47,0.86,0.0,522.1882166666667,598.0763666666667,1230.2222256869918,1298.5215606869917,1199.9999999999998,0.0,0.0,75.88815,0.0,0.0,0.0,0.0,0.0,0.0,522.5146833333333,605.2859281654299,TEST / REFERENCE ONLY,optimal,optimal,optimal,0.0,0.0,1e-07,18686.737074820776,07:50:00
2025-03-21,48,1.1617,0.0,535.9166666666666,654.65,1298.5215606869917,1405.3815606869916,1199.9999999999998,0.0,0.0,118.73333333333335,0.0,0.0,0.0,0.0,0.0,0.0,527.2691666666666,674.1037402663343,TEST / REFERENCE ONLY,optimal,optimal,optimal,0.0,0.0,1e-07,18618.43773982078,08:00:00
2025-03-21,49,1.1683,0.0,524.6581333333334,684.4751833333332,1405.3815606869916,1549.2169056869916,1199.9999999999998,0.0,0.0,159.81704999999988,0.0,0.0,0.0,0.0,0.0,0.0,519.9191000000001,724.7527716698103,TEST / REFERENCE ONLY,optimal,optimal,optimal,0.0,0.0,1e-07,18511.57773982078,08:10:00
2025-03-21,50,1.0956,0.0,541.6352499999999,729.5257333333334,1549.2169056869916,1718.3183406869916,1199.9999999999998,0.0,0.0,187.89048333333346,0.0,0.0,0.0,0.0,0.0,0.0,527.5210833333333,775.4018030732861,TEST / REFERENCE ONLY,optimal,optimal,optimal,0.0,0.0,1e-07,18367.742394820776,08:20:00
2025-03-21,51,1.0849,0.0,563.515,790.3874999999999,1718.3183406869916,1922.5035906869916,1199.9999999999998,0.0,0.0,226.87249999999995,0.0,0.0,0.0,0.0,0.0,0.0,540.6916666666666,826.0508344767622,TEST / REFERENCE ONLY,optimal,optimal,optimal,0.0,0.0,1e-07,18198.640959820772,08:30:00
2025-03-21,52,1.061,0.0,518.4480666666666,830.7737333333332,1922.5035906869916,2203.5966906869917,1199.9999999999998,0.0,0.0,312.3256666666666,0.0,0.0,0.0,0.0,0.0,0.0,530.2688166666667,876.6998658802382,TEST / REFERENCE ONLY,optimal,optimal,optimal,0.0,0.0,1e-07,17994.455709820773,08:40:00
2025-03-21,53,1.043,0.0,544.4419166666667,874.3743333333333,2203.5966906869917,2500.5358656869917,1199.9999999999998,0.0,0.0,329.93241666666665,0.0,0.0,0.0,0.0,0.0,0.0,574.4859583333333,927.3488972837142,TEST / REFERENCE ONLY,optimal,optimal,optimal,0.0,0.0,1e-07,17713.362609820775,08:50:00
2025-03-21,54,1.036,0.0,623.9233333333333,910.6187499999999,2500.5358656869917,2758.5617406869915,1199.9999999999998,0.0,0.0,286.6954166666666,0.0,0.0,0.0,0.0,0.0,0.0,652.9658333333332,977.9979286871902,TEST / REFERENCE ONLY,optimal,optimal,optimal,0.0,0.0,1e-07,17416.423434820772,09:00:00
2025-03-21,55,1.0147,0.0,604.1303,904.5523,2758.5617406869915,3028.941540686991,1199.9999999999998,0.0,0.0,300.4219999999999,0.0,0.0,0.0,0.0,0.0,0.0,658.4881,1012.4950367718013,TEST / REFERENCE ONLY,optimal,optimal,optimal,0.0,0.0,1e-07,17158.397559820776,09:10:00
2025-03-21,56,0.9922,0.0,619.2490833333333,920.0186166666667,3028.941540686991,3299.634120686991,1199.9999999999998,0.0,0.0,300.76953333333347,0.0,0.0,0.0,0.0,0.0,0.0,638.3489166666666,1046.992144856413,TEST / REFERENCE ONLY,optimal,optimal,optimal,0.0,0.0,1e-07,16888.017759820777,09:20:00
2025-03-21,57,0.97,0.0,672.3983333333333,978.1499999999999,3299.634120686991,3574.810620686991,1199.9999999999998,0.0,0.0,305.75166666666655,0.0,0.0,0.0,0.0,0.0,0.0,632.9975,1081.4892529410242,TEST / REFERENCE ONLY,optimal,optimal,optimal,0.0,0.0,1e-07,16617.325179820775,09:30:00
2025-03-21,58,0.9422,0.0,624.7448666666667,1038.2509499999999,3574.810620686991,3946.966095686991,1199.9999999999998,0.0,0.0,413.5060833333332,0.0,0.0,0.0,0.0,0.0,0.0,632.6280833333333,1115.9863610256357,TEST / REFERENCE ONLY,optimal,optimal,optimal,0.0,0.0,1e-07,16342.148679820777,09:40:00
2025-03-21,59,0.9569,0.0,584.9065333333333,1084.5234999999998,3946.966095686991,4396.621365686991,1199.9999999999998,0.0,0.0,499.6169666666665,0.0,0.0,0.0,0.0,0.0,0.0,615.7675916666666,1150.483469110247,TEST / REFERENCE ONLY,optimal,optimal,optimal,0.0,0.0,1e-07,15969.993204820774,09:50:00
2025-03-21,60,0.9977,0.0,608.3383333333334,1116.6625,4396.621365686991,4854.1131156869915,1199.9999999999998,0.0,0.0,508.32416666666654,0.0,0.0,0.0,0.0,0.0,0.0,602.0091666666666,1184.9805771948581,TEST / REFERENCE ONLY,optimal,optimal,optimal,0.0,0.0,1e-07,15520.337934820778,10:00:00
2025-03-21,61,0.9919,0.0,638.8362333333333,1144.3659499999999,4854.1131156869915,5309.089860686991,1199.9999999999998,0.0,0.0,505.52971666666656,0.0,0.0,0.0,0.0,0.0,0.0,629.819925,1214.914567745866,TEST / REFERENCE ONLY,optimal,optimal,optimal,0.0,0.0,1e-07,15062.846184820777,10:10:00
2025-03-21,62,0.9588,0.0,643.9225833333333,1182.7385666666667,5309.089860686991,5794.024245686992,1199.9999999999998,0.0,0.0,538.8159833333334,0.0,0.0,0.0,0.0,0.0,0.0,642.3247666666666,1244.8485582968738,TEST / REFERENCE ONLY,optimal,optimal,optimal,0.0,0.0,1e-07,14607.869439820777,10:20:00
2025-03-21,63,0.9549,0.0,626.65,1236.3374999999999,5794.024245686992,6342.742995686992,1199.9999999999998,0.0,0.0,609.6874999999999,0.0,0.0,0.0,0.0,0.0,0.0,627.3566666666666,1274.7825488478816,TEST / REFERENCE ONLY,optimal,optimal,optimal,0.0,0.0,1e-07,14122.935054820773,10:30:00
2025-03-21,64,0.9839,0.0,617.27735,1295.50805,6342.742995686992,6953.150625686992,1199.9999999999998,0.0,0.0,678.2307,0.0,0.0,0.0,0.0,0.0,0.0,625.3329666666666,1304.7165393988894,TEST / REFERENCE ONLY,optimal,optimal,optimal,0.0,0.0,1e-07,13574.216304820777,10:40:00
2025-03-21,65,0.799,0.0,639.3030833333332,1341.1442,6953.150625686992,7584.807630686992,1199.9999999999998,0.0,0.0,701.8411166666667,0.0,0.0,0.0,0.0,0.0,0.0,613.1372166666666,1334.6505299498972,TEST / REFERENCE ONLY,optimal,optimal,optimal,0.0,0.0,1e-07,12963.808674820772,10:50:00
2025-03-21,66,0.5025,0.0,660.8516666666667,1355.8625,7584.807630686992,8210.31738068699,1199.9999999999998,0.0,0.0,695.0108333333333,0.0,0.0,0.0,0.0,0.0,0.0,601.3833333333333,1364.584520500905,TEST / REFERENCE ONLY,optimal,optimal,optimal,0.0,0.0,1e-07,12332.151669820774,11:00:00
2025-03-21,67,0.4662,0.0,629.1357666666667,1345.1078666666667,8210.31738068699,8854.692270686992,1199.9999999999998,0.0,0.0,715.9721000000001,0.0,0.0,0.0,0.0,0.0,0.0,626.4391083333333,1368.5398871121147,TEST / REFERENCE ONLY,optimal,optimal,optimal,0.0,0.0,1e-07,11706.641919820775,11:10:00
2025-03-21,68,0.5007,0.0,617.3747833333333,1384.7060999999999,8854.692270686992,9545.290455686993,1199.9999999999998,0.0,0.0,767.3313166666666,0.0,0.0,0.0,0.0,0.0,0.0,629.6221833333333,1372.4952537233244,TEST / REFERENCE ONLY,optimal,optimal,optimal,0.0,0.0,1e-07,11062.267029820774,11:20:00
2025-03-21,69,0.4827,0.0,643.5816666666666,1451.7875,9545.290455686993,10272.675705686992,1199.9999999999998,0.0,0.0,808.2058333333333,0.0,0.0,0.0,0.0,0.0,0.0,605.815,1376.4506203345336,TEST / REFERENCE ONLY,optimal,optimal,optimal,0.0,0.0,1e-07,10371.668844820775,11:30:00
2025-03-21,70,0.4785,0.0,651.1271166666667,1451.80405,10272.675705686992,10272.675705686992,1199.9999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,608.2628749999999,1380.4059869457433,TEST / REFERENCE ONLY,optimal,optimal,optimal,0.0,0.0,1e-07,9644.283594820772,11:40:00
2025-03-21,71,0.4662,0.0,634.8849166666666,1463.0396833333334,10272.675705686992,10272.675705686992,1199.9999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,613.5161083333332,1384.361353556953,TEST / REFERENCE ONLY,optimal,optimal,optimal,0.0,0.0,1e-07,9644.283594820772,11:50:00
2025-03-21,72,0.4432,0.0,623.885,1484.41875,10272.675705686992,10272.675705686992,1199.9999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,609.4208333333333,1388.3167201681626,TEST / REFERENCE ONLY,optimal,optimal,optimal,0.0,0.0,1e-07,9644.283594820774,12:00:00
2025-03-21,73,0.4411,0.0,642.6170666666667,1436.1980333333333,10272.675705686992,10430.763076650856,1199.9999999999998,0.0,0.0,175.65263440429288,0.0,0.0,0.0,0.0,0.0,0.0,611.4825583333334,1428.3480556667432,TEST / REFERENCE ONLY,optimal,optimal,optimal,0.0,0.0,1e-07,9632.389311851732,12:10:00
2025-03-21,74,0.4551,0.0,621.1401833333333,1413.9203,10430.763076650856,10430.763076650856,1199.9999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,620.1617416666666,1405.1189720821687,TEST / REFERENCE ONLY,optimal,optimal,optimal,0.0,0.0,1e-07,9474.301940887868,12:20:00
2025-03-21,75,0.4463,0.0,579.7733333333333,1434.9125,10430.763076650856,10430.763076650857,1199.9999999999998,0.0,0.0,1.8189894035458565e-12,0.0,0.0,0.0,0.0,0.0,0.0,623.15,1381.889888497594,TEST / REFERENCE ONLY,optimal,optimal,optimal,0.0,0.0,1e-07,9474.30194088787,12:30:00
2025-03-21,76,0.4113,0.0,610.1972,1417.0670333333333,10430.763076650857,10430.763076650857,1199.9999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,606.8305916666666,1358.6608049130195,TEST / REFERENCE ONLY,optimal,optimal,optimal,0.0,0.0,1e-07,9474.301940887868,12:40:00
2025-03-21,77,0.5682,0.0,636.7426333333333,1373.66655,10430.763076650857,10430.763076650857,1199.9999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,586.7543333333333,1335.431721328445,TEST / REFERENCE ONLY,optimal,optimal,optimal,0.0,0.0,1e-07,9474.301940887868,12:50:00
2025-03-21,78,0.8279,0.0,621.795,1332.625,10430.763076650857,10430.763076650857,1199.9999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,580.1208333333333,1312.2026377438704,TEST / REFERENCE ONLY,optimal,optimal,optimal,0.0,0.0,1e-07,9474.301940887868,13:00:00
