update_time,rho_mean,increase_kwh,decrease_kwh
06:00,0.6212341605042639,208422.55303944193,451394.2841033473
12:00,0.6348840065208958,59904.587076552016,323619.62721401214
18:00,0.5006094370842071,128089.35118962283,3596.473073125244
