date,update_time,slot,old_forecast_kwh,new_raw_forecast_kwh,updated_forecast_kwh,confidence_rho,historical_error_old,historical_error_new
2025-02-01,00:00,66,1174.4341,1174.4341,1174.4341,1.0,0.0,0.0
2025-02-01,00:00,67,1165.6361805555555,1165.6361805555555,1165.6361805555555,1.0,0.0,0.0
2025-02-01,00:00,68,1156.838261111111,1156.838261111111,1156.838261111111,1.0,0.0,0.0
2025-02-01,00:00,69,1148.0403416666666,1148.0403416666666,1148.0403416666666,1.0,0.0,0.0
2025-02-01,00:00,70,1139.242422222222,1139.242422222222,1139.242422222222,1.0,0.0,0.0
2025-02-01,00:00,71,1130.4445027777776,1130.4445027777776,1130.4445027777776,1.0,0.0,0.0
2025-02-01,00:00,72,1121.6465833333332,1121.6465833333332,1121.6465833333332,1.0,0.0,0.0
2025-02-01,00:00,73,1102.5322583333332,1102.5322583333332,1102.5322583333332,1.0,0.0,0.0
2025-02-01,00:00,74,1083.4179333333332,1083.4179333333332,1083.4179333333332,1.0,0.0,0.0
2025-02-01,00:00,75,1064.3036083333332,1064.3036083333332,1064.3036083333332,1.0,0.0,0.0
2025-02-01,00:00,76,1045.1892833333332,1045.1892833333332,1045.1892833333332,1.0,0.0,0.0
2025-02-01,00:00,77,1026.0749583333331,1026.0749583333331,1026.0749583333331,1.0,0.0,0.0
2025-02-01,00:00,78,1006.9606333333332,1006.9606333333332,1006.9606333333332,1.0,0.0,0.0
2025-02-01,00:00,79,978.5977527777777,978.5977527777777,978.5977527777777,1.0,0.0,0.0
2025-02-01,00:00,80,950.2348722222221,950.2348722222221,950.2348722222221,1.0,0.0,0.0
2025-02-01,00:00,81,921.8719916666666,921.8719916666666,921.8719916666666,1.0,0.0,0.0
2025-02-01,00:00,82,893.5091111111111,893.5091111111111,893.5091111111111,1.0,0.0,0.0
2025-02-01,00:00,83,865.1462305555556,865.1462305555556,865.1462305555556,1.0,0.0,0.0
2025-02-01,00:00,84,836.7833499999999,836.7833499999999,836.7833499999999,1.0,0.0,0.0
2025-02-01,00:00,85,788.2188305555555,788.2188305555555,788.2188305555555,1.0,0.0,0.0
2025-02-01,00:00,86,739.654311111111,739.654311111111,739.654311111111,1.0,0.0,0.0
2025-02-01,00:00,87,691.0897916666665,691.0897916666665,691.0897916666665,1.0,0.0,0.0
2025-02-01,00:00,88,642.5252722222222,642.5252722222222,642.5252722222222,1.0,0.0,0.0
2025-02-01,00:00,89,593.9607527777778,593.9607527777778,593.9607527777778,1.0,0.0,0.0
2025-02-01,00:00,90,545.3962333333333,545.3962333333333,545.3962333333333,1.0,0.0,0.0
2025-02-01,00:00,91,490.88206111111106,490.88206111111106,490.88206111111106,1.0,0.0,0.0
2025-02-01,00:00,92,436.36788888888884,436.36788888888884,436.36788888888884,1.0,0.0,0.0
2025-02-01,00:00,93,381.8537166666666,381.8537166666666,381.8537166666666,1.0,0.0,0.0
2025-02-01,00:00,94,327.3395444444444,327.3395444444444,327.3395444444444,1.0,0.0,0.0
2025-02-01,00:00,95,272.8253722222222,272.8253722222222,272.8253722222222,1.0,0.0,0.0
2025-02-01,00:00,96,218.31119999999999,218.31119999999999,218.31119999999999,1.0,0.0,0.0
2025-02-01,00:00,97,189.57120277777773,189.57120277777773,189.57120277777773,1.0,0.0,0.0
2025-02-01,00:00,98,160.83120555555553,160.83120555555553,160.83120555555553,1.0,0.0,0.0
2025-02-01,00:00,99,132.09120833333333,132.09120833333333,132.09120833333333,1.0,0.0,0.0
2025-02-01,00:00,100,103.3512111111111,103.3512111111111,103.3512111111111,1.0,0.0,0.0
2025-02-01,00:00,101,74.6112138888889,74.6112138888889,74.6112138888889,1.0,0.0,0.0
2025-02-01,00:00,102,45.87121666666667,45.87121666666667,45.87121666666667,1.0,0.0,0.0
2025-02-01,00:00,103,38.226013888888886,38.226013888888886,38.226013888888886,1.0,0.0,0.0
2025-02-01,00:00,104,30.58081111111111,30.58081111111111,30.58081111111111,1.0,0.0,0.0
2025-02-01,00:00,105,22.935608333333334,22.935608333333334,22.935608333333334,1.0,0.0,0.0
2025-02-01,00:00,106,15.290405555555555,15.290405555555555,15.290405555555555,1.0,0.0,0.0
2025-02-01,00:00,107,7.645202777777783,7.645202777777783,7.645202777777783,1.0,0.0,0.0
2025-02-01,00:00,108,0.0,0.0,0.0,1.0,0.0,0.0
