date,update_time,slot,old_forecast_kwh,new_raw_forecast_kwh,updated_forecast_kwh,confidence_rho,historical_error_old,historical_error_new
2025-03-20,00:00,65,1349.6176944444444,1349.6176944444444,1349.6176944444444,1.0,0.0,0.0
2025-03-20,00:00,66,1374.9984,1374.9984,1374.9984,1.0,0.0,0.0
2025-03-20,00:00,67,1363.8025499999999,1363.8025499999999,1363.8025499999999,1.0,0.0,0.0
2025-03-20,00:00,68,1352.6067,1352.6067,1352.6067,1.0,0.0,0.0
2025-03-20,00:00,69,1341.41085,1341.41085,1341.41085,1.0,0.0,0.0
2025-03-20,00:00,70,1330.215,1330.215,1330.215,1.0,0.0,0.0
2025-03-20,00:00,71,1319.01915,1319.01915,1319.01915,1.0,0.0,0.0
2025-03-20,00:00,72,1307.8233,1307.8233,1307.8233,1.0,0.0,0.0
2025-03-20,00:00,73,1266.0381194444444,1266.0381194444444,1266.0381194444444,1.0,0.0,0.0
2025-03-20,00:00,74,1224.2529388888888,1224.2529388888888,1224.2529388888888,1.0,0.0,0.0
2025-03-20,00:00,75,1182.4677583333332,1182.4677583333332,1182.4677583333332,1.0,0.0,0.0
2025-03-20,00:00,76,1140.6825777777776,1140.6825777777776,1140.6825777777776,1.0,0.0,0.0
2025-03-20,00:00,77,1098.8973972222223,1098.8973972222223,1098.8973972222223,1.0,0.0,0.0
2025-03-20,00:00,78,1057.1122166666667,1057.1122166666667,1057.1122166666667,1.0,0.0,0.0
2025-03-20,00:00,79,1044.4610722222224,1044.4610722222224,1044.4610722222224,1.0,0.0,0.0
2025-03-20,00:00,80,1031.8099277777778,1031.8099277777778,1031.8099277777778,1.0,0.0,0.0
2025-03-20,00:00,81,1019.1587833333333,1019.1587833333333,1019.1587833333333,1.0,0.0,0.0
2025-03-20,00:00,82,1006.5076388888889,1006.5076388888889,1006.5076388888889,1.0,0.0,0.0
2025-03-20,00:00,83,993.8564944444445,993.8564944444445,993.8564944444445,1.0,0.0,0.0
2025-03-20,00:00,84,981.20535,981.20535,981.20535,1.0,0.0,0.0
2025-03-20,00:00,85,926.00875,926.00875,926.00875,1.0,0.0,0.0
2025-03-20,00:00,86,870.81215,870.81215,870.81215,1.0,0.0,0.0
2025-03-20,00:00,87,815.61555,815.61555,815.61555,1.0,0.0,0.0
2025-03-20,00:00,88,760.4189499999999,760.4189499999999,760.4189499999999,1.0,0.0,0.0
2025-03-20,00:00,89,705.22235,705.22235,705.22235,1.0,0.0,0.0
2025-03-20,00:00,90,650.02575,650.02575,650.02575,1.0,0.0,0.0
2025-03-20,00:00,91,607.0601166666667,607.0601166666667,607.0601166666667,1.0,0.0,0.0
2025-03-20,00:00,92,564.0944833333333,564.0944833333333,564.0944833333333,1.0,0.0,0.0
2025-03-20,00:00,93,521.12885,521.12885,521.12885,1.0,0.0,0.0
2025-03-20,00:00,94,478.16321666666664,478.16321666666664,478.16321666666664,1.0,0.0,0.0
2025-03-20,00:00,95,435.19758333333334,435.19758333333334,435.19758333333334,1.0,0.0,0.0
2025-03-20,00:00,96,392.23195,392.23195,392.23195,1.0,0.0,0.0
2025-03-20,00:00,97,361.56933611111117,361.56933611111117,361.56933611111117,1.0,0.0,0.0
2025-03-20,00:00,98,330.90672222222224,330.90672222222224,330.90672222222224,1.0,0.0,0.0
2025-03-20,00:00,99,300.2441083333333,300.2441083333333,300.2441083333333,1.0,0.0,0.0
2025-03-20,00:00,100,269.58149444444444,269.58149444444444,269.58149444444444,1.0,0.0,0.0
2025-03-20,00:00,101,238.9188805555556,238.9188805555556,238.9188805555556,1.0,0.0,0.0
2025-03-20,00:00,102,208.25626666666668,208.25626666666668,208.25626666666668,1.0,0.0,0.0
2025-03-20,00:00,103,173.54688888888887,173.54688888888887,173.54688888888887,1.0,0.0,0.0
2025-03-20,00:00,104,138.83751111111113,138.83751111111113,138.83751111111113,1.0,0.0,0.0
2025-03-20,00:00,105,104.12813333333334,104.12813333333334,104.12813333333334,1.0,0.0,0.0
2025-03-20,00:00,106,69.41875555555556,69.41875555555556,69.41875555555556,1.0,0.0,0.0
2025-03-20,00:00,107,34.70937777777779,34.70937777777779,34.70937777777779,1.0,0.0,0.0
2025-03-20,00:00,108,0.0,0.0,0.0,1.0,0.0,0.0
2025-03-20,00:00,109,0.0,0.0,0.0,1.0,0.0,0.0
2025-03-20,00:00,110,0.0,0.0,0.0,1.0,0.0,0.0
2025-03-20,00:00,111,0.0,0.0,0.0,1.0,0.0,0.0
2025-03-20,00:00,112,0.0,0.0,0.0,1.0,0.0,0.0
2025-03-20,00:00,113,0.0,0.0,0.0,1.0,0.0,0.0
2025-03-20,00:00,114,0.0,0.0,0.0,1.0,0.0,0.0
2025-03-20,00:00,115,0.0,0.0,0.0,1.0,0.0,0.0
2025-03-20,00:00,116,0.0,0.0,0.0,1.0,0.0,0.0
2025-03-20,00:00,117,0.0,0.0,0.0,1.0,0.0,0.0
2025-03-20,00:00,118,0.0,0.0,0.0,1.0,0.0,0.0
2025-03-20,00:00,119,0.0,0.0,0.0,1.0,0.0,0.0
2025-03-20,00:00,120,0.0,0.0,0.0,1.0,0.0,0.0
2025-03-20,00:00,121,0.0,0.0,0.0,1.0,0.0,0.0
2025-03-20,00:00,122,0.0,0.0,0.0,1.0,0.0,0.0
2025-03-20,00:00,123,0.0,0.0,0.0,1.0,0.0,0.0
2025-03-20,00:00,124,0.0,0.0,0.0,1.0,0.0,0.0
2025-03-20,00:00,125,0.0,0.0,0.0,1.0,0.0,0.0
2025-03-20,00:00,126,0.0,0.0,0.0,1.0,0.0,0.0
2025-03-20,00:00,127,0.0,0.0,0.0,1.0,0.0,0.0
2025-03-20,00:00,128,0.0,0.0,0.0,1.0,0.0,0.0
2025-03-20,00:00,129,0.0,0.0,0.0,1.0,0.0,0.0
2025-03-20,00:00,130,0.0,0.0,0.0,1.0,0.0,0.0
2025-03-20,00:00,131,0.0,0.0,0.0,1.0,0.0,0.0
2025-03-20,00:00,132,0.0,0.0,0.0,1.0,0.0,0.0
2025-03-20,00:00,133,0.0,0.0,0.0,1.0,0.0,0.0
2025-03-20,00:00,134,0.0,0.0,0.0,1.0,0.0,0.0
2025-03-20,00:00,135,0.0,0.0,0.0,1.0,0.0,0.0
2025-03-20,00:00,136,0.0,0.0,0.0,1.0,0.0,0.0
2025-03-20,00:00,137,0.0,0.0,0.0,1.0,0.0,0.0
2025-03-20,00:00,138,0.0,0.0,0.0,1.0,0.0,0.0
