date,run_label,alpha,lambda,soc_start_kwh,scenario_count_00,soc_00_kwh,plan_primary_status_00,plan_secondary_status_00,plan_cost_00_yuan,increase_00_kwh,decrease_00_kwh,scenario_count_06,soc_06_kwh,plan_primary_status_06,plan_secondary_status_06,adjustment_cost_06_yuan,increase_06_kwh,decrease_06_kwh,rho_06,scenario_count_12,soc_12_kwh,plan_primary_status_12,plan_secondary_status_12,adjustment_cost_12_yuan,increase_12_kwh,decrease_12_kwh,rho_12,scenario_count_18,soc_18_kwh,plan_primary_status_18,plan_secondary_status_18,adjustment_cost_18_yuan,increase_18_kwh,decrease_18_kwh,rho_18,soc_end_kwh,soc_min_kwh,soc_max_kwh,adjustment_cost_total_yuan,actual_emergency_purchase_kwh,actual_emergency_cost_yuan,total_actual_cost_yuan,emergency_slot_count,actual_throughput_kwh,simultaneous_slots,max_constraint_violation,actual_primary_status,actual_secondary_status,actual_tertiary_status,predicted_plan_cost_00_yuan,predicted_adjustment_cost_06_yuan,predicted_adjustment_cost_12_yuan,predicted_adjustment_cost_18_yuan
2025-02-01,Q4-3 SEARCH,0.85,1.0,6000.0,2,6000.0,optimal,optimal,17704.998134576555,0.0,0.0,2,9412.028295154325,optimal,optimal,-835.8328280117909,0.0,3016.2460072980675,0.6203361283146992,2,6894.116867746915,optimal,optimal,-63.70172974716067,2.685042090888601e-07,193.7677869331785,0.5219275667876406,2,10197.944476851852,optimal,optimal,-26.662097908108127,0.0,62.756499171063965,0.5,1200.0000001,1200.0000001,10800.0,-926.1966556670596,1.0520875733979311e-07,2e-07,16778.801479109497,0,33067.3683917867,0,1.00000761449337e-07,optimal,optimal,optimal,18731.39647195714,-814.2297012583119,-60.63598023095885,-23.401662907507554
2025-02-02,Q4-3 SEARCH,0.85,1.0,1200.0000001,3,1200.0000001,optimal,optimal,64060.004566700874,0.0,0.0,3,10800.0,optimal,optimal,-1488.9033273389132,9.157730099887885,3722.519321185425,0.630420805544078,3,7521.591452353554,optimal,optimal,-383.0582124924421,20.07642451813686,1032.646212480003,0.5328440473078151,3,10800.0,optimal,optimal,-4.779193532651367e-07,2.1649088921549262e-07,1.1651429527050834e-06,0.5,1200.0000000999999,1200.0000000999999,10800.0,-1871.9615403092748,14.533405615991875,34.2028571221853,62222.24588351378,3,42170.61486876427,0,1.0002986527979374e-07,optimal,optimal,optimal,67597.33438475637,-1538.0791806542697,-382.83466074989053,-4.422044101132217e-07
2025-02-03,Q4-3 SEARCH,0.85,1.0,1200.0000000999999,4,1200.0000000999999,optimal,optimal,66972.86227921201,0.0,0.0,4,10794.161419753087,optimal,optimal,-1993.0514874242406,0.0,4652.188913573709,0.6081206271476367,4,7630.736388465353,optimal,optimal,-619.7654490224297,0.0,1490.9125915653958,0.5188848576958215,4,10786.822222222223,optimal,optimal,23.11825388035963,11.859999999997516,1.0231815394945443e-12,0.5,1283.9915780940528,1200.0000000999999,10800.0,-2589.6986825663107,168.16601619729863,805.4645644077218,65188.62816105343,7,41082.58804217576,0,1.0001531336456537e-07,optimal,optimal,optimal,68977.70785854546,-2004.3091186809188,-612.166824923225,21.394021507337282
2025-02-04,Q4-3 SEARCH,0.85,1.0,1283.9915780940528,5,1283.9915780940528,optimal,optimal,69114.38781601924,0.0,0.0,5,10800.0,optimal,optimal,-1596.604114333954,159.7802744378373,4296.46303578033,0.604213286359979,5,7944.716762260735,optimal,optimal,-1007.5933282785461,0.0,2526.5208754179816,0.5361436228440177,5,10792.654320987655,optimal,optimal,12.824233278066238,6.611111111109588,2.2737367544323206e-13,0.5,1200.0000001,1200.0000001,10800.0,-2591.3732093344333,29.371520544730082,147.5463018748714,66670.56090855968,3,42726.23183722569,0,1.0000121619668789e-07,optimal,optimal,optimal,70643.73772415877,-1626.7211588180512,-1026.7057890049773,12.366274995306558
2025-02-05,Q4-3 SEARCH,0.85,1.0,1200.0000001,6,1200.0000001,optimal,optimal,64893.080383486915,0.0,0.0,6,10800.0,optimal,optimal,-315.1550338241563,335.37775993769736,1957.0098108799677,0.6073189178332172,6,7073.663197573377,optimal,optimal,-479.19634854775006,0.0,1103.2700994747129,0.5500793609993078,6,10800.0,optimal,optimal,1.0457862447472444e-07,2.119733380823163e-07,2.6169578179345516e-07,0.5,1200.0000000999999,1200.0000000999999,10800.0,-794.3513822673277,151.68095828635475,387.3729262033738,64486.10192742296,7,43162.96854803304,0,1.0001531336456537e-07,optimal,optimal,optimal,66107.53444789513,-311.7522741740398,-481.3877187833137,1.0000376912133097e-07
2025-02-06,Q4-3 SEARCH,0.85,1.0,1200.0000000999999,7,1200.0000000999999,optimal,optimal,69900.42837506796,0.0,0.0,7,10797.222530864197,optimal,optimal,-2264.136724553786,0.0,5075.792795736934,0.6235349872124988,7,7774.48044438556,optimal,optimal,-1335.7115186123135,0.0,3170.53212603492,0.5707119684648804,7,10796.047530864198,optimal,optimal,7.064109827773175,3.5572224477464216,2.784247726642468e-07,0.5,1200.0000001,1200.0000000999999,10800.0,-3592.7841333383262,69.54772372669827,150.86442401870087,66458.50866574833,5,43310.10671145977,0,1.0000121619668789e-07,optimal,optimal,optimal,72123.62018843417,-2202.4073463528484,-1304.6293071806003,6.503323485444673
2025-02-07,Q4-3 SEARCH,0.85,1.0,1200.0000001,8,1200.0000001,optimal,optimal,19303.121975249713,0.0,0.0,8,9683.11007407407,optimal,optimal,-726.027980041036,0.0,3048.08711865686,0.6423505795163891,8,7505.256504074071,optimal,optimal,-328.83630050557656,0.0,1424.6243272057554,0.6644873138638798,8,10290.618518518519,optimal,optimal,13.608128726159835,10.70833364577098,3.85724527379809e-07,0.5,1200.0,1200.0,10800.0,-1041.2561518204527,92.70863841884174,251.41563167791955,18513.28145510718,3,39116.995559896306,0,1.0000042038882384e-07,optimal,optimal,optimal,20499.615480342673,-734.5836814425573,-346.32259857690667,12.642775990262779
2025-02-08,Q4-3 SEARCH,0.85,1.0,1200.0,9,1200.0,optimal,optimal,15715.003714839127,0.0,0.0,9,8246.95644607821,optimal,optimal,-90.39661732881564,7.326614365056287,294.74512193317094,0.6251944679866634,9,7408.129102744877,optimal,optimal,-18.690594360939137,0.9439153216314935,56.56802693138971,0.7212701175370082,9,9922.138074196211,optimal,optimal,53.87894103330689,60.731942901781,32.61064943755482,0.5,1200.0000000999996,1200.0,10800.0,-55.208270656447894,278.47511563084095,893.6173325477529,16553.412776730434,9,36219.234743170025,0,1.0000303518609144e-07,optimal,optimal,optimal,16048.099593682799,-86.5666394252139,-17.935064507943792,56.08821052353875
2025-02-09,Q4-3 SEARCH,0.85,1.0,1200.0000000999996,10,1200.0000000999996,optimal,optimal,64125.82473182687,0.0,0.0,10,10793.536111111112,optimal,optimal,-916.1972410676118,0.0,1810.2997390069952,0.6518986649382474,10,8090.770466730494,optimal,optimal,-868.4197366266615,0.0,2165.9649892646453,0.7139956059165149,10,10777.467592592593,optimal,optimal,6.374275203743937,9.570833333333995,20.3813130020543,0.5,1200.0000001,1200.0000000999996,10800.000000000002,-1778.2427024905294,200.87551321123908,332.23007516024774,62679.81210449659,2,42957.021399180274,0,1.0001531336456537e-07,optimal,optimal,optimal,65362.63289217498,-926.8126691482039,-842.9270360628879,6.454978462435185
2025-02-10,Q4-3 SEARCH,0.85,1.0,1200.0000001,11,1200.0000001,optimal,optimal,59136.75472964268,0.0,0.0,11,10741.274870370371,optimal,optimal,-2567.0136917750483,2.118680114839208,6124.433918114376,0.632296215923355,11,7611.218320633314,optimal,optimal,338.25593444961305,456.93765257245747,808.2677726622358,0.7122470447481396,11,9998.13888888889,optimal,optimal,-12.601780479611397,1.4000001513077676,22.333328997424445,0.5,1205.9361873396756,1200.0000001,10800.0,-2241.359537805047,203.32081769299558,576.7327383845097,57472.127930222145,4,39763.71766651706,0,1.0000803740695119e-07,optimal,optimal,optimal,60445.921488871376,-2707.4722996371497,324.452678982459,-12.497388035838272
