date,slot,gamma,observed_count,observed_price_sum,baseline_observed_sum,baseline_price_yuan_per_kwh
2025-12-10,39,1.0324366796307787,39,20.958000000000002,20.29955,1.05275
2025-12-10,40,1.0331260026455287,40,22.024800000000003,21.318600000000004,1.01905
2025-12-10,41,1.0334398935442868,41,23.065500000000004,22.319150000000004,1.00055
2025-12-10,42,1.0327412402445666,42,24.090600000000002,23.326850000000004,1.0077
2025-12-10,43,1.0321812660746572,43,25.102700000000002,24.320050000000005,0.9932
2025-12-10,44,1.0323150629698616,44,26.1153,25.297800000000006,0.97775
2025-12-10,45,1.03274198129298,45,27.0897,26.230850000000007,0.9330499999999999
2025-12-10,46,1.0327607056151595,46,27.97,27.082750000000008,0.8519
2025-12-10,47,1.0331630930421465,47,29.0698,28.13670000000001,1.05395
2025-12-10,48,1.0339928523420843,48,30.5381,29.53415,1.39745
2025-12-10,49,1.033434483382959,49,31.9617,30.92765,1.3935
2025-12-10,50,1.0319397140416293,50,33.2831,32.25295,1.3253
2025-12-10,51,1.03087258712545,51,34.625,33.588049999999996,1.3351
2025-12-10,52,1.0306783654073355,52,35.9396,34.86984999999999,1.2818
2025-12-10,53,1.0312532013212001,53,37.2467,36.11789999999999,1.24805
2025-12-10,54,1.0321845879598932,54,38.5635,37.36104999999999,1.24315
2025-12-10,55,1.032981001583715,55,39.8193,38.54794999999999,1.1869
2025-12-10,56,1.0335019552249443,56,41.044599999999996,39.7141,1.16615
2025-12-10,57,1.0335129214176568,57,42.2698,40.89915,1.18505
2025-12-10,58,1.032760168086182,58,43.439699999999995,42.061749999999996,1.1625999999999999
2025-12-10,59,1.0330136967291361,59,44.663999999999994,43.236599999999996,1.17485
2025-12-10,60,1.0350494641987376,60,46.0198,44.46145,1.22485
2025-12-10,61,1.036953376540066,61,47.3756,45.6873,1.2258499999999999
2025-12-10,62,1.0394741754390981,62,48.7253,46.87495,1.18765
2025-12-10,63,1.0432878274312771,63,50.1401,48.0597,1.18475
2025-12-10,64,1.046383288181678,64,51.5834,49.29685,1.23715
2025-12-10,65,1.0481741755888017,65,52.733799999999995,50.31015,1.0132999999999999
2025-12-10,66,1.0494672949099915,66,53.477599999999995,50.9569,0.6467499999999999
2025-12-10,67,1.0509905788391993,67,54.21639999999999,51.586,0.6291
2025-12-10,68,1.0518378364934646,68,54.98029999999999,52.2707,0.6847
2025-12-10,69,1.05127151505875,69,55.64479999999999,52.930949999999996,0.66025
2025-12-10,70,1.050268512836181,70,56.30499999999999,53.610099999999996,0.67915
2025-12-10,71,1.0495143950470678,71,56.99219999999999,54.303399999999996,0.6933
2025-12-10,72,1.049081523068524,72,57.68379999999999,54.98505,0.6816500000000001
2025-12-10,73,1.0488573425241572,73,58.38369999999999,55.6641,0.67905
