date,run_label,alpha,lambda,soc_start_kwh,scenario_count_00,soc_00_kwh,plan_primary_status_00,plan_secondary_status_00,plan_cost_00_yuan,increase_00_kwh,decrease_00_kwh,scenario_count_06,soc_06_kwh,plan_primary_status_06,plan_secondary_status_06,adjustment_cost_06_yuan,increase_06_kwh,decrease_06_kwh,rho_06,scenario_count_12,soc_12_kwh,plan_primary_status_12,plan_secondary_status_12,adjustment_cost_12_yuan,increase_12_kwh,decrease_12_kwh,rho_12,scenario_count_18,soc_18_kwh,plan_primary_status_18,plan_secondary_status_18,adjustment_cost_18_yuan,increase_18_kwh,decrease_18_kwh,rho_18,soc_end_kwh,soc_min_kwh,soc_max_kwh,adjustment_cost_total_yuan,actual_emergency_purchase_kwh,actual_emergency_cost_yuan,total_actual_cost_yuan,emergency_slot_count,actual_throughput_kwh,simultaneous_slots,max_constraint_violation,actual_primary_status,actual_secondary_status,actual_tertiary_status,predicted_plan_cost_00_yuan,predicted_adjustment_cost_06_yuan,predicted_adjustment_cost_12_yuan,predicted_adjustment_cost_18_yuan
2025-02-01,Q4-3 SEARCH,0.8,0.0,6000.0,2,6000.0,optimal,optimal,17704.9981345766,0.0,0.0,2,9412.028295154325,optimal,optimal,-835.8328280117914,0.0,3016.2460072980684,0.6203361283146992,2,6894.116867746915,optimal,optimal,-63.70172974716036,2.685043227756978e-07,193.76778693317812,0.5219275667876406,2,10197.944476851852,optimal,optimal,-26.662097908107373,0.0,62.75649917106434,0.5,1200.0000001,1200.0000001,10800.0,-926.1966556670592,1.0520875733979311e-07,2e-07,16778.80147910954,0,33067.36839178669,0,1.000001930151484e-07,optimal,optimal,optimal,18731.396471957138,-814.2297012583119,-60.6359802309588,-23.401662907507546
2025-02-02,Q4-3 SEARCH,0.8,0.0,1200.0000001,3,1200.0000001,optimal,optimal,64060.00456670078,0.0,0.0,3,10800.0,optimal,optimal,-1488.9033273389032,9.157730099889136,3722.519321185374,0.630420805544078,3,7521.591452353301,optimal,optimal,-383.0582124924672,20.07642451813254,1032.6462124800266,0.5328440473078151,3,10800.0,optimal,optimal,-4.780051779558279e-07,2.1650234884873496e-07,1.1652996730047405e-06,0.5,1200.0000001,1200.0000001,10800.0,-1871.9615403093756,14.533405615991875,34.2028571221853,62222.245883513584,3,42170.61486876475,0,1.0005896911025047e-07,optimal,optimal,optimal,67597.3343847564,-1538.079180654066,-382.8346607498905,-4.422842213188011e-07
2025-02-03,Q4-3 SEARCH,0.8,0.0,1200.0000001,4,1200.0000001,optimal,optimal,66972.8622792123,0.0,0.0,4,10794.161419753087,optimal,optimal,-1993.0514874242403,0.0,4652.188913573707,0.6081206271476367,4,7630.736388465353,optimal,optimal,-619.7654490224343,0.0,1490.912591565395,0.5188848576958215,4,10786.822222222223,optimal,optimal,4.502911781157566e-07,2.3341452797216937e-07,9.094947017729282e-13,0.5,1278.8342872667129,1200.0000001,10800.0,-2612.8169359963836,168.16601619729863,805.4645644077218,65165.509907623644,7,41103.78630637046,0,1.0002986527979374e-07,optimal,optimal,optimal,68977.70785854547,-2004.3091186809183,-612.1668249232252,4.5147004647378154e-07
2025-02-04,Q4-3 SEARCH,0.8,0.0,1278.8342872667129,5,1278.8342872667129,optimal,optimal,69091.51255189895,0.0,0.0,5,10800.0,optimal,optimal,-1749.431271864046,12.525544756219801,4123.73581727326,0.604213286359979,5,7811.120274667404,optimal,optimal,-1032.1037366639612,0.0,2530.6043146076936,0.5361436228440177,5,10792.654320987655,optimal,optimal,7.477011391601775e-08,2.2530855727380213e-07,2.781586819878385e-07,0.5,1200.0000001,1200.0000001,10800.0,-2781.535008453237,30.811952236096843,154.80175630428573,66464.77929975,3,42933.98477387469,0,1.0000121619668789e-07,optimal,optimal,optimal,70620.49615939488,-1779.8443863835994,-1054.929234913144,9.99982000114734e-08
2025-02-05,Q4-3 SEARCH,0.8,0.0,1200.0000001,6,1200.0000001,optimal,optimal,64448.773072856886,0.0,0.0,6,10800.0,optimal,optimal,-514.6299801601779,1.739401381153698,1118.3021990632083,0.6073189178332172,6,6886.69188232165,optimal,optimal,-581.8633012175621,0.0,1342.625164029606,0.5500793609993078,6,10800.0,optimal,optimal,1.993696401815018e-07,2.723628964228167e-07,0.0,0.5,1200.0000001000003,1200.0000001,10800.0,-1096.4932811783704,321.07925629576584,1365.061283265793,64717.34107494431,14,43460.99896783182,0,1.00000761449337e-07,optimal,optimal,optimal,65653.75822188747,-518.045731530407,-585.3085383231713,1.9094176018086273e-07
2025-02-06,Q4-3 SEARCH,0.8,0.0,1200.0000001000003,7,1200.0000001000003,optimal,optimal,69438.72665235019,0.0,0.0,7,10797.222530864197,optimal,optimal,-2092.4397848503722,0.0,4641.946185764978,0.6235349872124988,7,7774.480444385561,optimal,optimal,-1319.9680049463564,0.0,3135.7181886607077,0.5707119684648804,7,10796.047530864198,optimal,optimal,0.0,0.0,0.0,0.5,1200.0000000999999,1200.0000000999999,10800.0,-3412.4077897967286,60.461259053024236,133.78537511618643,66160.10423766966,3,43337.43092984544,0,1.0000303518609144e-07,optimal,optimal,optimal,71629.75952905449,-2027.0481324383989,-1288.4913857983038,0.0
2025-02-07,Q4-3 SEARCH,0.8,0.0,1200.0000000999999,8,1200.0000000999999,optimal,optimal,18871.568515131337,0.0,0.0,8,9683.110074074073,optimal,optimal,-544.8467414357435,0.0,2474.9314446255066,0.6423505795163891,8,7505.256504074077,optimal,optimal,-322.090408271019,0.0,1424.0850904181675,0.6644873138638798,8,10290.618518518519,optimal,optimal,-4.821083635642769e-07,0.0,3.6648298256501475e-06,0.5,1200.0,1200.0,10800.0,-866.9371501888709,118.8490671913799,326.61044205427976,18331.241806996746,4,39043.67180574663,0,1.00000761449337e-07,optimal,optimal,optimal,20037.446869190204,-553.2215781318672,-340.75138909971236,-4.2760397963682454e-07
2025-02-08,Q4-3 SEARCH,0.8,0.0,1200.0,9,1200.0,optimal,optimal,15239.23841811841,0.0,0.0,9,8188.753565324073,optimal,optimal,3.212205152129144e-06,2.5729545853891977e-06,0.0,0.6251944679866634,9,5785.226960774503,optimal,optimal,3.267918861894259e-06,2.6175808898187825e-06,0.0,0.7212701175370082,9,9904.579537081045,optimal,optimal,0.0,0.0,0.0,0.5,1200.0000000999996,1200.0,10800.0,6.480124014023403e-06,778.6576642102093,2237.9451738911853,17477.18359848972,18,36019.22194188704,0,1.0000144357036334e-07,optimal,optimal,optimal,15570.984788142443,3.23100711864143e-06,3.2307986665764666e-06,0.0
2025-02-09,Q4-3 SEARCH,0.8,0.0,1200.0000000999996,10,1200.0000000999996,optimal,optimal,63643.96233815094,0.0,0.0,10,10793.536111111112,optimal,optimal,-941.0539308365883,0.0,1866.0173417353644,0.6518986649382474,10,8164.467006895587,optimal,optimal,-780.7424655161869,0.0,2001.8434910287672,0.7139956059165149,10,10729.61773328684,optimal,optimal,9.023007996802335e-08,2.1690061657864135e-07,2.6777877337735845e-07,0.5,1200.0000001,1200.0000000999996,10800.000000000002,-1721.7963962625452,871.1853630092817,1795.7522608745735,63717.918202762965,11,43041.2316354999,0,1.0000167094403878e-07,optimal,optimal,optimal,64870.71736021281,-955.9096142253397,-758.680179172113,9.999970736949093e-08
2025-02-10,Q4-3 SEARCH,0.8,0.0,1200.0000001,11,1200.0000001,optimal,optimal,58508.74487549988,0.0,0.0,11,10737.736935239533,optimal,optimal,-2543.1986569664277,0.0,6181.843525244155,0.632296215923355,11,7596.596328282276,optimal,optimal,-208.93301163577016,0.0,593.6440165812476,0.7122470447481396,11,9904.699846968411,optimal,optimal,3.009217256476404e-07,4.384057774586836e-07,0.0,0.5,1200.0000000461139,1200.0000000461139,10800.0,-2752.131668301276,1025.1943837530036,2665.1473501541896,58421.76055735279,18,39826.94827944026,0,1.0001531336456537e-07,optimal,optimal,optimal,59822.648872755904,-2700.628299907751,-214.65936876150576,2.5346240364664176e-07
