slot,source_time,price_yuan_per_kwh,load_kw,pv_forecast_kw,load_kwh,pv_forecast_kwh,x_kwh,y_kwh,q_kwh,z_kwh,soc_kwh,soc_previous_kwh,grid_purchase_kwh,charge_input_kwh,battery_charge_kwh,battery_discharge_kwh,supply_surplus_kwh,cost_yuan,throughput_kwh
93,15:30,0.7308,5657.0867,4188.2025,942.8477833333333,698.03375,0.0,244.8140333333332,0.0,0.0,10800.0,10800.0,244.8140333333332,0.0,0.0,0.0,0.0,178.91009555999992,0.0
94,15:40,0.7534,5662.6008,3889.3931,943.7668,648.2321833333333,0.0,295.5346166666667,0.0,0.0,10800.0,10800.0,295.5346166666667,0.0,0.0,0.0,0.0,222.65578019666668,0.0
95,15:50,0.7823,5669.2596,3594.5946,944.8766,599.0990999999999,0.0,345.77750000000015,0.0,0.0,10800.0,10800.0,345.77750000000015,0.0,0.0,0.0,0.0,270.50173825000013,0.0
96,16:00,0.8055,5673.4767,3303.8878,945.57945,550.6479666666667,0.0,394.9314833333333,0.0,0.0,10800.0,10800.0,394.9314833333333,0.0,0.0,0.0,0.0,318.11730982499995,0.0
97,16:10,0.8271,5671.0146,2998.4247,945.1691000000001,499.73744999999997,0.0,445.4316500000001,0.0,0.0,10800.0,10800.0,445.4316500000001,0.0,0.0,0.0,0.0,368.41651771500005,0.0
98,16:20,0.8519,5661.5926,2687.4131,943.5987666666666,447.90218333333337,0.0,495.69658333333325,0.0,0.0,10800.0,10800.0,495.69658333333325,0.0,0.0,0.0,0.0,422.2839193416666,0.0
99,16:30,0.8791,5665.8922,2383.1779,944.3153666666667,397.1963166666667,0.0,547.11905,0.0,0.0,10800.0,10800.0,547.11905,0.0,0.0,0.0,0.0,480.972356855,0.0
100,16:40,0.9024,5689.0372,2089.1246,948.1728666666666,348.18743333333333,0.0,599.9854333333333,0.0,0.0,10800.0,10800.0,599.9854333333333,0.0,0.0,0.0,0.0,541.42685504,0.0
101,16:50,0.9163,5603.6614,1791.0829,933.9435666666666,298.5138166666667,0.0,635.4297499999999,0.0,0.0,10800.0,10800.0,635.4297499999999,0.0,0.0,0.0,0.0,582.2442799249999,0.0
102,17:00,0.9264,5466.7124,1501.7283,911.1187333333334,250.28805,0.0,660.8306833333334,0.0,0.0,10800.0,10800.0,660.8306833333334,0.0,0.0,0.0,0.0,612.19354504,0.0
103,17:10,0.9462,5467.3939,1255.1723,911.2323166666666,209.19538333333333,0.0,702.0369333333333,0.0,0.0,10800.0,10800.0,702.0369333333333,0.0,0.0,0.0,0.0,664.26734632,0.0
104,17:20,0.9742,5464.727,1036.3323,910.7878333333333,172.72205,0.0,738.0657833333333,0.0,0.0,10800.0,10800.0,738.0657833333333,0.0,0.0,0.0,0.0,719.0236861233333,0.0
105,17:30,0.9862,5492.4458,836.7775,915.4076333333334,139.46291666666667,0.0,775.9447166666666,0.0,0.0,10800.0,10800.0,775.9447166666666,0.0,0.0,0.0,-1.1368683772161603e-13,765.2366795766666,0.0
106,17:40,0.976,5621.7308,665.2313,936.9551333333334,110.87188333333333,0.0,826.08325,0.0,0.0,10800.0,10800.0,826.08325,0.0,0.0,0.0,0.0,806.257252,0.0
107,17:50,1.0742,5091.2126,516.6758,848.5354333333332,86.11263333333332,0.0,762.4227999999999,0.0,0.0,10800.0,10800.0,762.4227999999999,0.0,0.0,0.0,0.0,818.99457176,0.0
108,18:00,1.2313,4208.5688,386.6731,701.4281333333333,64.44551666666666,0.0,636.9826166666667,0.0,0.0,10800.0,10800.0,636.9826166666667,0.0,0.0,0.0,0.0,784.3166959016667,0.0
109,18:10,1.2561,4122.7611,275.7933,687.1268499999999,45.96554999999999,0.0,531.8940499999999,0.0,109.26725000000005,10678.591944444444,10800.0,531.8940499999999,0.0,0.0,121.4080555555556,0.0,668.1121162049999,121.4080555555556
110,18:20,1.2447,4255.9358,182.9526,709.3226333333333,30.492099999999997,0.0,678.8305333333333,0.0,0.0,10678.591944444444,10678.591944444444,678.8305333333333,0.0,0.0,0.0,0.0,844.9403648399999,0.0
111,18:30,1.2545,4225.9524,108.3414,704.3254,18.0569,0.0,686.2684999999999,0.0,0.0,10678.591944444444,10678.591944444444,686.2684999999999,0.0,0.0,0.0,0.0,860.9238332499998,0.0
112,18:40,1.2522,4233.3384,54.3121,705.5563999999999,9.052016666666667,0.0,696.5043833333333,0.0,0.0,10678.591944444444,10678.591944444444,696.5043833333333,0.0,0.0,0.0,0.0,872.1627888099999,0.0
113,18:50,1.2881,4246.4625,18.6569,707.7437499999999,3.1094833333333334,0.0,0.0,0.0,704.6342666666666,9895.664981481481,10678.591944444444,0.0,0.0,0.0,782.9269629629629,0.0,0.0,782.9269629629629
114,19:00,1.3466,4239.1795,0.2753,706.5299166666666,0.04588333333333333,0.0,0.0,0.0,706.4840333333333,9110.682722222222,9895.664981481481,0.0,0.0,0.0,784.9822592592592,0.0,0.0,784.9822592592592
115,19:10,1.3523,4244.6684,0.2296,707.4447333333333,0.038266666666666664,0.0,0.0,0.0,707.4064666666666,8324.675537037037,9110.682722222222,0.0,0.0,0.0,786.0071851851851,0.0,0.0,786.0071851851851
116,19:20,1.3445,4251.9187,0.6007,708.6531166666666,0.10011666666666666,0.0,0.0,0.0,708.553,7537.394425925927,8324.675537037037,0.0,0.0,0.0,787.281111111111,0.0,0.0,787.281111111111
117,19:30,1.3483,4256.6813,0.0,709.4468833333333,0.0,0.0,0.0,0.0,709.4468833333333,6749.120111111112,7537.394425925927,0.0,0.0,0.0,788.2743148148147,0.0,0.0,788.2743148148147
118,19:40,1.349,4267.3947,0.0,711.23245,0.0,0.0,0.0,0.0,711.23245,5958.861833333334,6749.120111111112,0.0,0.0,0.0,790.2582777777777,0.0,0.0,790.2582777777777
119,19:50,1.3473,4269.975,0.0,711.6625,0.0,0.0,0.0,0.0,711.6625,5168.125722222223,5958.861833333334,0.0,0.0,0.0,790.7361111111111,0.0,0.0,790.7361111111111
120,20:00,1.3482,4268.6702,0.0,711.4450333333332,0.0,-9.094947017729282e-13,0.0,0.0,711.4450333333332,4377.631240740741,5168.125722222223,-9.094947017729282e-13,-9.094947017729282e-13,-8.185452315956354e-13,790.4944814814813,0.0,-1.226180756930262e-12,790.4944814814805
121,20:10,1.3513,4282.2245,0.0,713.7040833333333,0.0,0.0,0.0,0.0,713.7040833333333,3584.626703703704,4377.631240740741,0.0,0.0,0.0,793.0045370370369,0.0,0.0,793.0045370370369
