metric,metric_cn,unit,q2_raw,q3_raw,q2_relative_percent,q3_relative_percent,q3_vs_q2_change_percent,q3_vs_q2_reduction_percent
total_actual_cost_yuan,全年实际总费用,yuan,14388572.952429088,14156427.999491744,100.0,98.38660196737472,-1.6133980326252801,1.6133980326252795
total_emergency_purchase_kwh,紧急购电量,kWh,277409.427002502,125055.37816386893,100.0,45.079714671246926,-54.92028532875308,54.92028532875308
total_emergency_cost_yuan,紧急购电费用,yuan,1194359.0889661158,506034.5792017333,100.0,42.368713385835804,-57.6312866141642,57.63128661416419
emergency_purchase_slot_count,紧急购电时段数,10 min slots,3282.0,2409.0,100.0,73.40036563071298,-26.599634369287017,26.599634369287017
