date,run_label,alpha,lambda,soc_start_kwh,scenario_count_00,soc_00_kwh,plan_primary_status_00,plan_secondary_status_00,plan_cost_00_yuan,increase_00_kwh,decrease_00_kwh,scenario_count_06,soc_06_kwh,plan_primary_status_06,plan_secondary_status_06,adjustment_cost_06_yuan,increase_06_kwh,decrease_06_kwh,rho_06,scenario_count_12,soc_12_kwh,plan_primary_status_12,plan_secondary_status_12,adjustment_cost_12_yuan,increase_12_kwh,decrease_12_kwh,rho_12,scenario_count_18,soc_18_kwh,plan_primary_status_18,plan_secondary_status_18,adjustment_cost_18_yuan,increase_18_kwh,decrease_18_kwh,rho_18,soc_end_kwh,soc_min_kwh,soc_max_kwh,adjustment_cost_total_yuan,actual_emergency_purchase_kwh,actual_emergency_cost_yuan,total_actual_cost_yuan,emergency_slot_count,actual_throughput_kwh,simultaneous_slots,max_constraint_violation,actual_primary_status,actual_secondary_status,actual_tertiary_status,predicted_plan_cost_00_yuan,predicted_adjustment_cost_06_yuan,predicted_adjustment_cost_12_yuan,predicted_adjustment_cost_18_yuan
2025-03-20,Q4 SMOKE / TEST ONLY,0.85,0.25,6000.0,14,6000.0,optimal,optimal,43616.289905997706,0.0,0.0,14,9249.393478611113,optimal,optimal,-2217.3603346593673,0.0,6752.026253557392,0.5534805697044803,14,5440.23935777831,optimal,optimal,127.14832940506764,164.7104876839669,117.17003950869685,0.6529613453245442,14,10423.626656615928,optimal,optimal,294.17102601083104,246.26834351002583,0.0,0.5,1295.1636975359818,1200.0,10423.626656615928,-1796.0409792434684,905.8946698941683,3781.718930658298,45601.967857412536,10,33325.92649814498,0,1.0000030670198612e-07,optimal,optimal,optimal,44252.78941483134,-2389.0303645663653,128.7080925028739,290.7239343986696
2025-03-21,Q4 SMOKE / TEST ONLY,0.85,0.25,1295.1636975359818,14,1295.1636975359818,optimal,optimal,11771.7533413482,0.0,0.0,14,3722.834212962963,optimal,optimal,82.5979009268301,206.25079362106152,369.34408782138513,0.5401286105414042,14,10313.624512954533,optimal,optimal,65.12915333080161,106.99438623094636,91.68806368627679,0.6582630896959252,14,9666.796379972213,optimal,optimal,301.02387281887906,202.05656688302196,0.0,0.5,1200.0000000737543,1200.0,10469.812454007339,448.7509270765108,259.0892931019381,701.372288477051,12921.876556901761,15,29252.39235577114,0,1.0000030670198612e-07,optimal,optimal,optimal,11666.69634554475,85.44480717772348,64.82165444780527,287.7470989293036
2025-03-22,Q4 SMOKE / TEST ONLY,0.85,0.25,1200.0000000737543,14,1200.0000000737543,optimal,optimal,12677.88039105199,0.0,0.0,14,4502.7081550328985,optimal,optimal,7.567249152843612,41.960307824380834,41.855820358597185,0.5894160965675708,14,10202.213706747327,optimal,optimal,-74.43810545914266,77.10592160225428,350.9098116711881,0.6778761296245728,14,9940.647541046597,optimal,optimal,211.4139698243123,155.67360678200419,0.0,0.5,1200.0000000618486,1200.0000000618486,10534.597035428911,144.54311351801323,24.119167016304814,43.33008343547918,12865.753588005482,1,28693.981610910283,0,1.0000030670198612e-07,optimal,optimal,optimal,12630.780110940283,6.684732114729771,-75.58361928278688,214.9644723426681
