date,slot,price_yuan_per_kwh,soc_day_start_kwh,x_real_kwh,y_real_kwh,q_real_kwh,z_real_kwh,soc_real_end_kwh,soc_real_start_kwh,grid_purchase_plan_kwh,load_actual_kwh,pv_actual_kwh,emergency_purchase_kwh,emergency_cost_slot_yuan,planned_cost_slot_yuan,total_cost_slot_yuan,source_time
2025-02-01,1,0.4248,6000.0,789.1096591872446,505.11676581275526,0.0,1.8189894035458565e-12,6710.19869326852,6000.0,1294.2264249999998,422.0303666666667,0.0,0.0,0.0,549.7873853399999,549.7873853399999,00:10:00
2025-02-01,2,0.4245,6000.0,833.3333333333334,490.989375,0.0,0.0,7460.1986932685195,6710.19869326852,1324.3227083333334,415.4073166666667,0.0,0.0,0.0,562.1749896875,562.1749896875,00:20:00
2025-02-01,3,0.4269,6000.0,833.3333333333334,505.3920833333333,0.0,0.0,8210.19869326852,7460.1986932685195,1338.7254166666667,410.7166666666667,0.0,0.0,0.0,571.501880375,571.501880375,00:30:00
2025-02-01,4,0.4272,6000.0,833.3333333333334,464.23665416666665,0.0,0.0,8960.19869326852,8210.19869326852,1297.5699875,430.29479999999995,0.0,0.0,0.0,554.32189866,554.32189866,00:40:00
2025-02-01,5,0.4271,6000.0,833.3333333333334,478.6173041666667,0.0,9.094947017729282e-13,9710.198693268518,8960.19869326852,1311.9506375,424.4105833333333,0.0,0.0,0.0,560.33411727625,560.33411727625,00:50:00
2025-02-01,6,0.4285,6000.0,94.32208333333335,406.0516666666666,0.0,0.0,9795.088568268518,9710.198693268518,500.37375,406.0516666666666,0.0,0.0,0.0,214.410151875,214.410151875,01:00:00
2025-02-01,7,0.4311,6000.0,37.81224583333335,436.7501833333333,0.0,0.0,9829.11958951852,9795.088568268518,474.5624291666667,436.7501833333333,0.0,0.0,0.0,204.58386321375,204.58386321375,01:10:00
2025-02-01,8,0.4302,6000.0,14.575537499999939,451.7976833333333,0.0,0.0,9842.23757326852,9829.11958951852,466.3732208333332,451.7976833333333,0.0,0.0,0.0,200.63375960249996,200.63375960249996,01:20:00
2025-02-01,9,0.4279,6000.0,353.2333333333335,446.08,0.0,0.0,10160.14757326852,9842.23757326852,799.3133333333335,446.08,0.0,0.0,0.0,342.0261753333334,342.0261753333334,01:30:00
2025-02-01,10,0.4312,6000.0,22.33609583333333,471.7663333333333,0.0,0.0,10180.25005951852,10160.14757326852,494.10242916666664,471.7663333333333,0.0,0.0,0.0,213.05696745666665,213.05696745666665,01:40:00
