metric,metric_cn,unit,q4_2_raw,q4_3_raw,q4_2_relative_percent,q4_3_relative_percent,q4_3_vs_q4_2_reduction_percent
total_actual_cost_yuan,实际总购电费用,元,15235111.57699595,14943845.120157544,100.0,98.08818953923382,1.9118104607661723
total_emergency_cost_yuan,紧急购电费用,元,1317895.8518359906,514221.01130058966,100.0,39.01833445975391,60.98166554024609
total_emergency_purchase_kwh,紧急购电量,kWh,282136.4764667724,123694.10591227323,100.0,43.84194041880326,56.15805958119674
