Hour,Region,TaskType,Actual_GPU,Predicted_GPU,AbsoluteError
2376,RegionA,RealTimeInference,3,9.838804713804715,6.8388047138047146
2376,RegionA,BatchInference,11,18.751262626262626,7.751262626262626
2376,RegionA,AITraining,0,26.300925925925927,26.300925925925927
2376,RegionB,RealTimeInference,11,8.332912457912458,2.6670875420875415
2376,RegionB,BatchInference,26,18.412037037037038,7.587962962962962
2376,RegionB,AITraining,0,26.022306397306398,26.022306397306398
2376,RegionC,RealTimeInference,7,7.095538720538721,0.09553872053872059
2376,RegionC,BatchInference,0,14.478535353535353,14.478535353535353
2376,RegionC,AITraining,0,24.610690235690235,24.610690235690235
2376,RegionD,RealTimeInference,0,0.8261784511784511,0.8261784511784511
2376,RegionD,BatchInference,10,18.835858585858585,8.835858585858585
2376,RegionD,AITraining,119,170.05765993265993,51.05765993265993
2376,RegionE,RealTimeInference,0,1.093013468013468,1.093013468013468
2376,RegionE,BatchInference,34,12.241582491582491,21.75841750841751
2376,RegionE,AITraining,111,121.13257575757575,10.13257575757575
2376,RegionF,RealTimeInference,0,0.8337542087542088,0.8337542087542088
2376,RegionF,BatchInference,17,11.337542087542088,5.662457912457912
2376,RegionF,AITraining,124,122.66287878787878,1.3371212121212182
2377,RegionA,RealTimeInference,20,9.838804713804715,10.161195286195285
2377,RegionA,BatchInference,35,18.751262626262626,16.248737373737374
2377,RegionA,AITraining,0,26.300925925925927,26.300925925925927
2377,RegionB,RealTimeInference,6,8.332912457912458,2.3329124579124585
2377,RegionB,BatchInference,4,18.412037037037038,14.412037037037038
2377,RegionB,AITraining,0,26.022306397306398,26.022306397306398
2377,RegionC,RealTimeInference,4,7.095538720538721,3.0955387205387206
2377,RegionC,BatchInference,0,14.478535353535353,14.478535353535353
2377,RegionC,AITraining,110,24.610690235690235,85.38930976430976
2377,RegionD,RealTimeInference,0,0.8261784511784511,0.8261784511784511
2377,RegionD,BatchInference,0,18.835858585858585,18.835858585858585
2377,RegionD,AITraining,209,170.05765993265993,38.94234006734007
2377,RegionE,RealTimeInference,5,1.093013468013468,3.906986531986532
2377,RegionE,BatchInference,55,12.241582491582491,42.75841750841751
2377,RegionE,AITraining,321,121.13257575757575,199.86742424242425
2377,RegionF,RealTimeInference,2,0.8337542087542088,1.166245791245791
2377,RegionF,BatchInference,0,11.337542087542088,11.337542087542088
2377,RegionF,AITraining,321,122.66287878787878,198.33712121212122
2378,RegionA,RealTimeInference,8,9.838804713804715,1.8388047138047146
2378,RegionA,BatchInference,0,18.751262626262626,18.751262626262626
2378,RegionA,AITraining,0,26.300925925925927,26.300925925925927
2378,RegionB,RealTimeInference,5,8.332912457912458,3.3329124579124585
2378,RegionB,BatchInference,18,18.412037037037038,0.4120370370370381
2378,RegionB,AITraining,0,26.022306397306398,26.022306397306398
2378,RegionC,RealTimeInference,0,7.095538720538721,7.095538720538721
2378,RegionC,BatchInference,21,14.478535353535353,6.521464646464647
2378,RegionC,AITraining,17,24.610690235690235,7.610690235690235
2378,RegionD,RealTimeInference,0,0.8261784511784511,0.8261784511784511
2378,RegionD,BatchInference,23,18.835858585858585,4.164141414141415
2378,RegionD,AITraining,147,170.05765993265993,23.05765993265993
2378,RegionE,RealTimeInference,2,1.093013468013468,0.906986531986532
2378,RegionE,BatchInference,42,12.241582491582491,29.75841750841751
2378,RegionE,AITraining,335,121.13257575757575,213.86742424242425
2378,RegionF,RealTimeInference,0,0.8337542087542088,0.8337542087542088
2378,RegionF,BatchInference,9,11.337542087542088,2.3375420875420883
2378,RegionF,AITraining,296,122.66287878787878,173.33712121212122
2379,RegionA,RealTimeInference,5,9.838804713804715,4.8388047138047146
2379,RegionA,BatchInference,38,18.751262626262626,19.248737373737374
2379,RegionA,AITraining,0,26.300925925925927,26.300925925925927
2379,RegionB,RealTimeInference,1,8.332912457912458,7.3329124579124585
2379,RegionB,BatchInference,15,18.412037037037038,3.412037037037038
2379,RegionB,AITraining,0,26.022306397306398,26.022306397306398
2379,RegionC,RealTimeInference,0,7.095538720538721,7.095538720538721
2379,RegionC,BatchInference,28,14.478535353535353,13.521464646464647
2379,RegionC,AITraining,0,24.610690235690235,24.610690235690235
2379,RegionD,RealTimeInference,6,0.8261784511784511,5.173821548821548
2379,RegionD,BatchInference,14,18.835858585858585,4.835858585858585
2379,RegionD,AITraining,374,170.05765993265993,203.94234006734007
2379,RegionE,RealTimeInference,0,1.093013468013468,1.093013468013468
2379,RegionE,BatchInference,0,12.241582491582491,12.241582491582491
2379,RegionE,AITraining,70,121.13257575757575,51.13257575757575
2379,RegionF,RealTimeInference,0,0.8337542087542088,0.8337542087542088
2379,RegionF,BatchInference,9,11.337542087542088,2.3375420875420883
2379,RegionF,AITraining,102,122.66287878787878,20.662878787878782
2380,RegionA,RealTimeInference,0,9.838804713804715,9.838804713804715
2380,RegionA,BatchInference,0,18.751262626262626,18.751262626262626
2380,RegionA,AITraining,122,26.300925925925927,95.69907407407408
2380,RegionB,RealTimeInference,9,8.332912457912458,0.6670875420875415
2380,RegionB,BatchInference,19,18.412037037037038,0.5879629629629619
2380,RegionB,AITraining,142,26.022306397306398,115.9776936026936
2380,RegionC,RealTimeInference,12,7.095538720538721,4.904461279461279
2380,RegionC,BatchInference,22,14.478535353535353,7.521464646464647
2380,RegionC,AITraining,0,24.610690235690235,24.610690235690235
2380,RegionD,RealTimeInference,0,0.8261784511784511,0.8261784511784511
