date,selected_load_window,selected_pv_window,soc_start_kwh,soc_plan_end_kwh,soc_actual_end_kwh,planned_grid_purchase_kwh,emergency_purchase_kwh,planned_cost_yuan,emergency_cost_yuan,total_cost_yuan,plan_secondary_throughput_kwh,actual_executed_throughput_kwh,actual_end_soc_deficit_kwh,actual_rolling_solve_count,rolling_primary_optimal_count,rolling_secondary_optimal_count,rolling_tertiary_optimal_count,rolling_terminal_gap_min_kwh,rolling_terminal_gap_max_kwh,rolling_terminal_gap_last_kwh,max_actual_executed_constraint_violation,max_rolling_constraint_violation,actual_optimize_seconds,actual_elapsed_seconds,max_plan_constraint_violation,max_actual_constraint_violation,simultaneous_plan_charge_discharge_slots,simultaneous_actual_charge_discharge_slots,risk_error_sample_min,risk_error_sample_max,plan_primary_status,plan_secondary_status,plan_primary_star,plan_primary_recomputed,plan_secondary_objective,plan_violation_nonnegative,plan_violation_soc_bounds,plan_violation_soc_recursion,plan_violation_soc_start_alignment,plan_violation_pv_allocation,plan_violation_charge_limit,plan_violation_discharge_limit,plan_violation_supply,plan_violation_primary_cost_preservation,plan_violation_secondary_objective,plan_violation_terminal_soc,plan_violation_planned_cost_column,plan_violation_grid_purchase_column,actual_violation_nonnegative,actual_violation_soc_bounds,actual_violation_soc_recursion,actual_violation_soc_start_alignment,actual_violation_pv_allocation,actual_violation_charge_limit,actual_violation_discharge_limit,actual_violation_supply,actual_violation_fixed_grid_purchase,actual_violation_planned_cost_column,actual_violation_emergency_cost_column,actual_violation_total_cost_column
2025-02-11,2,5,6195.454329037208,6195.454329037208,6199.837044934621,84749.0472010855,9.07756731616416,52901.406717267295,26.093274552216396,52927.49999181951,43697.234597125804,40594.82611230115,0.0,144,144,144,144,0.0,6.035399932161454,0.0,2.3874235921539366e-12,1.0000394468079321e-07,1.4422030000278028,2.6083837000005587,9.997165761888027e-08,2.3874235921539366e-12,0,0,12,12,optimal,optimal,52901.40671716732,52901.40671716735,43697.234597125804,0.0,0.0,1.1937117960769683e-12,0.0,0.0,0.0,0.0,0.0,9.997165761888027e-08,0.0,0.0,0.0,1.1368683772161603e-13,1.6370904631912707e-12,0.0,9.979177977786297e-13,0.0,0.0,1.1368683772161603e-13,2.3874235921539366e-12,4.547473508864641e-13,0.0,0.0,0.0,5.9368176107677775e-15
2025-02-12,2,5,6199.837044934621,6199.837044934621,6204.226620453142,83674.19611313476,156.48325007177428,52129.17506261554,628.7391445307248,52757.914207146256,43328.73795601359,40578.47334197042,0.0,144,144,144,144,0.0,26.81301752474792,0.0,2.3874235921539366e-12,1.000011309315596e-07,1.447091299945896,2.636592599999858,1.0002986527979374e-07,2.3874235921539366e-12,0,0,13,13,optimal,optimal,52129.175062515504,52129.175062515504,43328.737956013596,0.0,0.0,1.6484591469634324e-12,0.0,0.0,0.0,0.0,1.9468870959826745e-12,1.0002986527979374e-07,7.275957614183426e-12,0.0,0.0,1.1368683772161603e-13,9.094947017729282e-13,0.0,8.988365607365267e-13,0.0,0.0,0.0,2.3874235921539366e-12,5.684341886080801e-13,0.0,0.0,0.0,5.684341886080802e-14
2025-02-13,2,5,6204.226620453142,6204.226620453142,6213.825364027893,84051.94000684135,4.677268475210477e-08,52569.82991849932,1e-07,52569.829918599324,43073.01286481279,35801.590115794956,0.0,144,144,144,144,0.0,1.3252500999979744,0.0,1.8189894035458565e-12,1.000000082740371e-07,1.382450599976437,2.5710320999969554,1.0000803740695119e-07,1.8189894035458565e-12,0,0,14,14,optimal,optimal,52569.829918399315,52569.82991839932,43073.01286481279,0.0,0.0,1.1937117960769683e-12,0.0,0.0,0.0,0.0,9.663381206337363e-13,1.0000803740695119e-07,0.0,0.0,0.0,1.1368683772161603e-13,1.8189894035458565e-12,0.0,1.1116046355002457e-12,0.0,0.0,0.0,0.0,2.2737367544323206e-13,1.1368683772161603e-13,0.0,0.0,5.9368176107677775e-15
2025-02-14,2,5,6213.825364027893,6213.825364027893,6214.607076842444,36398.09618037275,318.85427880323357,18850.902185618455,888.1915364694767,19739.093722087935,33827.39425294651,33531.90415424195,0.0,144,144,144,144,0.0,33.96847982413328,0.0,9.094947017729282e-13,1.0000030670198612e-07,1.35254960002203,2.5101479000004474,1.00000761449337e-07,9.094947017729282e-13,0,0,15,15,optimal,optimal,18850.902185518455,18850.902185518447,33827.39425294651,0.0,0.0,1.8189894035458565e-12,0.0,0.0,0.0,0.0,0.0,1.00000761449337e-07,0.0,0.0,0.0,1.1368683772161603e-13,9.094947017729282e-13,0.0,8.185452315956354e-13,0.0,0.0,0.0,0.0,2.8421709430404007e-13,0.0,0.0,0.0,5.684341886080802e-14
2025-02-15,2,5,6214.607076842444,6214.607076842444,6066.520113309353,35265.40317211057,662.2589498798975,18230.135539317864,2094.437014730699,20324.572554048566,32908.25253841599,32795.91230719007,148.08696353309097,144,144,144,144,0.0,160.46369809511873,148.0869634330911,1.0358134103525016e-12,1.0000155725720106e-07,1.3439763999595016,2.498305299999629,1.00000761449337e-07,1.0358134103525016e-12,0,0,16,16,optimal,optimal,18230.135539217867,18230.135539217874,32908.25253841599,0.0,0.0,9.094947017729282e-13,0.0,0.0,0.0,0.0,0.0,1.00000761449337e-07,0.0,0.0,0.0,1.1368683772161603e-13,9.094947017729282e-13,0.0,1.0358134103525016e-12,0.0,0.0,3.410605131648481e-13,0.0,4.547473508864641e-13,0.0,0.0,0.0,2.842170943040401e-14
2025-02-16,2,5,6066.520113309353,6066.520113309353,6032.633282129964,79569.2187906618,939.8143069743173,49182.40157329726,3616.163159607455,52798.56473290471,41815.69900626972,42536.85405475754,33.886831179389446,144,144,144,144,0.0,64.80775092659981,33.88683107938925,2.3874235921539366e-12,1.0000769634643802e-07,1.4080105000175536,2.582518399998662,9.998620953410864e-08,2.3874235921539366e-12,0,0,17,17,optimal,optimal,49182.401573197276,49182.4015731973,41815.69900626973,0.0,0.0,1.8189894035458565e-12,0.0,0.0,0.0,0.0,0.0,9.998620953410864e-08,7.275957614183426e-12,0.0,0.0,1.1368683772161603e-13,1.3642420526593924e-12,2.2737367544323206e-13,9.094947017729282e-13,0.0,0.0,7.958078640513122e-13,2.3874235921539366e-12,2.2737367544323206e-13,0.0,0.0,0.0,5.684341886080802e-14
2025-02-17,2,5,6032.633282129964,6032.633282129964,5981.516218913201,80539.41318482556,72.86769680768674,49801.06227672982,488.35044254997734,50289.41271927979,41756.95281676863,37333.83338358936,51.1170632167632,144,144,144,144,0.0,94.98624341379613,51.117063116763575,9.094947017729282e-13,1.0000007932831068e-07,1.3504456999471586,2.5302418999999645,1.00000761449337e-07,9.094947017729282e-13,0,0,18,18,optimal,optimal,49801.06227662982,49801.06227662981,41756.95281676863,0.0,0.0,9.094947017729282e-13,0.0,0.0,0.0,0.0,0.0,1.00000761449337e-07,0.0,0.0,0.0,1.1368683772161603e-13,0.0,0.0,9.094947017729282e-13,0.0,0.0,0.0,0.0,5.684341886080801e-13,0.0,0.0,0.0,5.9368176107677775e-15
2025-02-18,2,5,5981.516218913201,5981.516218913201,5984.466760479805,79490.66030082924,47.86570337431611,48987.82923310746,265.25261146353034,49253.081844570996,41782.98847101396,40076.42562360062,0.0,144,144,144,144,0.0,0.0,0.0,2.1600499167107046e-12,1.0000121619668789e-07,1.3495297000408755,2.5076060999999754,1.0002258932217956e-07,2.1600499167107046e-12,0,0,19,19,optimal,optimal,48987.82923300744,48987.82923300745,41782.98847101396,0.0,0.0,9.094947017729282e-13,0.0,0.0,0.0,0.0,0.0,1.0002258932217956e-07,0.0,0.0,0.0,1.1368683772161603e-13,2.1600499167107046e-12,0.0,1.616879469818539e-12,0.0,0.0,0.0,0.0,4.547473508864641e-13,0.0,0.0,0.0,5.9368176107677775e-15
2025-02-19,2,5,5984.466760479805,5984.466760479805,5780.22658903738,79241.54262130598,804.5919911821902,48818.30729217376,3033.9586876670637,51852.26597984083,41942.76036237256,42002.13407101956,204.24017144242498,144,144,144,144,0.0,204.24017144242555,204.24017144242555,1.9326762412674725e-12,1.0000050565395213e-07,1.4053246999974363,2.5805574000005436,1.0000803740695119e-07,1.9326762412674725e-12,0,0,20,20,optimal,optimal,48818.30729207375,48818.30729207374,41942.76036237255,0.0,0.0,9.094947017729282e-13,0.0,0.0,0.0,0.0,0.0,1.0000803740695119e-07,7.275957614183426e-12,0.0,0.0,1.1368683772161603e-13,1.9326762412674725e-12,0.0,1.1116046355002457e-12,0.0,0.0,0.0,0.0,1.5916157281026244e-12,0.0,0.0,0.0,5.684341886080802e-14
2025-02-20,2,5,5780.22658903738,5780.22658903738,5770.597500974357,79109.80617515344,25.13520676052141,48749.48768909525,117.73330822667172,48867.22099732192,41830.082727769564,39771.15180122638,9.629088063023119,144,144,144,144,0.0,9.629088063023346,9.629088063023346,1.2505552149377763e-12,1.0000000116860974e-07,1.3638017000012042,2.525195599999279,9.999348549172282e-08,1.2505552149377763e-12,0,0,21,21,optimal,optimal,48749.48768899526,48749.48768899526,41830.082727769564,0.0,0.0,9.094947017729282e-13,0.0,0.0,0.0,0.0,0.0,9.999348549172282e-08,0.0,0.0,0.0,1.1368683772161603e-13,9.094947017729282e-13,0.0,8.86402062860725e-13,0.0,0.0,1.2505552149377763e-12,0.0,6.821210263296962e-13,0.0,0.0,0.0,1.4210854715202004e-14
