date,slot,price_yuan_per_kwh,soc_day_start_kwh,x_plan_kwh,y_plan_kwh,q_plan_kwh,z_plan_kwh,soc_plan_end_kwh,soc_plan_start_kwh,grid_purchase_plan_kwh,pv_forecast_kwh,risk_adjusted_net_load_kwh,planned_cost_slot_yuan,source_time
2025-03-14,71,0.4662,5212.769321217816,0.0,0.0,472.1035400000004,0.0,7647.887470499998,7222.994284499998,0.0,1211.6197100000002,-472.1035400000004,0.0,11:50:00
2025-03-14,72,0.4432,5212.769321217816,0.0,0.0,534.3149999999997,0.0,8128.770970499998,7647.887470499998,0.0,1209.7324999999998,-534.3149999999997,0.0,12:00:00
2025-03-14,73,0.4411,5212.769321217816,0.0,0.0,549.8053799999999,0.0,8623.595812499998,8128.770970499998,0.0,1207.4378866666666,-549.8053799999999,0.0,12:10:00
2025-03-14,74,0.4551,5212.769321217816,0.0,0.0,560.5727116666666,0.0,9128.111252999997,8623.595812499998,0.0,1218.1508033333332,-560.5727116666666,0.0,12:20:00
2025-03-14,75,0.4463,5212.769321217816,0.0,0.0,586.4549999999997,0.0,9655.920752999997,9128.111252999997,0.0,1230.5424999999998,-586.4549999999997,0.0,12:30:00
2025-03-14,76,0.4113,5212.769321217816,0.0,0.0,577.951223333333,0.0,10176.076853999997,9655.920752999997,0.0,1221.9813799999997,-577.951223333333,0.0,12:40:00
2025-03-14,77,0.5682,5212.769321217816,0.0,0.0,550.5063383333331,0.0,10671.532558499997,10176.076853999997,0.0,1211.5901,-550.5063383333331,0.0,12:50:00
2025-03-14,78,0.8279,5212.769321217816,0.0,0.0,142.74160166666965,0.0,10800.0,10671.532558499997,0.0,1199.135,-531.9593055555554,0.0,13:00:00
2025-03-14,79,0.8636,5212.769321217816,0.0,0.0,0.0,0.0,10800.0,10800.0,0.0,1166.03416,-517.560225,0.0,13:10:00
2025-03-14,80,0.8416,5212.769321217816,0.0,0.0,0.0,0.0,10800.0,10800.0,0.0,1139.2329133333333,-499.6433783333333,0.0,13:20:00
