date,slot,price_yuan_per_kwh,grid_purchase_plan_kwh,load_actual_kwh,pv_actual_kwh,soc_real_start_kwh,soc_real_end_kwh,plan_terminal_soc_kwh,x_real_kwh,y_real_kwh,q_real_kwh,z_real_kwh,emergency_purchase_kwh,planned_cost_slot_yuan,emergency_cost_slot_yuan,total_cost_slot_yuan,effective_contract_kwh,load_forecast_kwh,pv_forecast_kwh,run_label,rolling_primary_status,rolling_secondary_status,rolling_tertiary_status,rolling_primary_star,rolling_terminal_gap_star,rolling_max_violation,rolling_tertiary_throughput_star,initial_plan_cost_real_yuan,adjustment_cost_real_yuan,settled_total_cost_yuan,source_time
2025-02-01,1,0.3281,1253.3933958333332,422.0303666666667,0.0,6000.0,6748.22672625,1200.0,831.3630291666666,422.0303666666667,0.0,0.0,0.0,411.2383731729166,0.0,411.2383731729166,1253.3933958333332,447.28122499999995,0.0,Q4-3 SEARCH,optimal,optimal,optimal,585.0161948979998,0.0,1.0000007932831068e-07,34998.00573990153,411.2383731729166,0.0,411.2383731729166,00:10:00
2025-02-01,2,0.3257,748.3774838785209,415.4073166666667,0.0,6748.22672625,7047.899876740668,1200.0,332.97016721185423,415.4073166666667,0.0,0.0,0.0,243.74654649923426,0.0,243.74654649923426,748.3774838785209,453.2701541666666,0.0,Q4-3 SEARCH,optimal,optimal,optimal,571.0619013705781,0.0,1e-07,34249.77901364817,243.74654649923426,0.0,243.74654649923426,00:20:00
2025-02-01,3,0.3041,1273.4004166666668,410.7166666666667,0.0,7047.899876740668,7797.899876740667,1200.0,833.3333333333334,440.06708333333347,0.0,9.094947017729282e-13,0.0,387.24106670833334,0.0,387.24106670833334,1273.4004166666668,460.36041666666665,0.0,Q4-3 SEARCH,optimal,optimal,optimal,563.1472276746053,0.0,1e-07,33950.105863155535,387.24106670833334,0.0,387.24106670833334,00:30:00
2025-02-01,4,0.3126,1297.5699875,430.29479999999995,0.0,7797.899876740667,8547.899876740665,1200.0,833.3333333333334,464.23665416666665,0.0,1.8189894035458565e-12,0.0,405.6203780925,0.0,405.6203780925,1297.5699875,456.77065000000005,0.0,Q4-3 SEARCH,optimal,optimal,optimal,566.8248652691126,0.0,1e-07,33200.10586315646,405.6203780925,0.0,405.6203780925,00:40:00
2025-02-01,5,0.3286,1311.9506375,424.4105833333333,0.0,8547.899876740665,9297.899876740663,1200.0,833.3333333333334,478.6173041666667,0.0,1.8189894035458565e-12,0.0,431.10697948250004,0.0,431.10697948250004,1311.9506375,460.46558749999997,0.0,Q4-3 SEARCH,optimal,optimal,optimal,567.4614706883142,0.0,1e-07,32450.105863156612,431.10697948250004,0.0,431.10697948250004,00:50:00
2025-02-01,6,0.3438,481.5662500000001,406.0516666666666,0.0,9297.899876740663,9365.863001740663,1200.0,75.51458333333346,406.0516666666666,0.0,0.0,0.0,165.56247675000003,0.0,165.56247675000003,481.5662500000001,475.89,0.0,Q4-3 SEARCH,optimal,optimal,optimal,564.4313309570305,0.0,1e-07,31700.105863155848,165.56247675000003,0.0,165.56247675000003,01:00:00
2025-02-01,7,0.3704,474.5624291666667,436.7501833333333,0.0,9365.863001740663,9383.629945050205,1200.0,19.741048121713845,454.82138104495283,0.0,0.0,0.0,175.77792376333335,0.0,175.77792376333335,474.5624291666667,486.27471249999996,0.0,Q4-3 SEARCH,optimal,optimal,optimal,571.3686209094459,0.0,1e-07,31606.115441861286,175.77792376333335,0.0,175.77792376333335,01:10:00
2025-02-01,8,0.3746,466.3732208333332,451.7976833333333,0.0,9383.629945050205,9396.747928800205,1200.0,14.575537499999939,451.7976833333333,0.0,0.0,0.0,174.70340852416663,0.0,174.70340852416663,466.3732208333332,475.9790958333333,0.0,Q4-3 SEARCH,optimal,optimal,optimal,580.0473366206546,0.0,1e-07,31567.002109664958,174.70340852416663,0.0,174.70340852416663,01:20:00
2025-02-01,9,0.3606,465.98000000000013,446.08,0.0,9396.747928800205,9414.657928800205,1200.0,19.900000000000148,446.08,0.0,0.0,0.0,168.03238800000003,0.0,168.03238800000003,465.98000000000013,462.72,0.0,Q4-3 SEARCH,optimal,optimal,optimal,583.1552688647628,0.0,1e-07,31553.88412591569,168.03238800000003,0.0,168.03238800000003,01:30:00
2025-02-01,10,0.3582,476.79535833333324,471.7663333333333,0.0,9414.657928800205,9419.184051300204,1200.0,5.029024999999933,471.7663333333333,0.0,0.0,0.0,170.78809735499996,0.0,170.78809735499996,476.79535833333324,480.7031083333333,0.0,Q4-3 SEARCH,optimal,optimal,optimal,584.4362908008998,0.0,1e-07,31527.290237027104,170.78809735499996,0.0,170.78809735499996,01:40:00
