date,update_time,slot,previous_plan_kwh,new_plan_kwh,increase_kwh,decrease_kwh,adjustment_cost_yuan,alpha,lambda,scenario_count,primary_objective,secondary_throughput,primary_status,secondary_status,initial_soc_kwh,plan_terminal_soc_kwh,max_constraint_violation
2025-03-22,00:00,134,0.0,407.4132166666667,0.0,0.0,0.0,0.95,0.5,14,16442.774960644252,26996.33762315836,optimal,optimal,1351.2650173204559,1199.9999999999998,1.00000761449337e-07
2025-03-22,00:00,135,0.0,365.5766666666667,0.0,0.0,0.0,0.95,0.5,14,16442.774960644252,26996.33762315836,optimal,optimal,1351.2650173204559,1199.9999999999998,1.00000761449337e-07
2025-03-22,00:00,136,0.0,419.81115,0.0,0.0,0.0,0.95,0.5,14,16442.774960644252,26996.33762315836,optimal,optimal,1351.2650173204559,1199.9999999999998,1.00000761449337e-07
2025-03-22,00:00,137,0.0,445.81069999999994,0.0,0.0,0.0,0.95,0.5,14,16442.774960644252,26996.33762315836,optimal,optimal,1351.2650173204559,1199.9999999999998,1.00000761449337e-07
2025-03-22,00:00,138,0.0,403.91666666666663,0.0,0.0,0.0,0.95,0.5,14,16442.774960644252,26996.33762315836,optimal,optimal,1351.2650173204559,1199.9999999999998,1.00000761449337e-07
2025-03-22,00:00,139,0.0,385.83378333333326,0.0,0.0,0.0,0.95,0.5,14,16442.774960644252,26996.33762315836,optimal,optimal,1351.2650173204559,1199.9999999999998,1.00000761449337e-07
2025-03-22,00:00,140,0.0,394.7680833333333,0.0,0.0,0.0,0.95,0.5,14,16442.774960644252,26996.33762315836,optimal,optimal,1351.2650173204559,1199.9999999999998,1.00000761449337e-07
2025-03-22,00:00,141,0.0,413.43249999999995,0.0,0.0,0.0,0.95,0.5,14,16442.774960644252,26996.33762315836,optimal,optimal,1351.2650173204559,1199.9999999999998,1.00000761449337e-07
2025-03-22,00:00,142,0.0,439.7575833333333,0.0,0.0,0.0,0.95,0.5,14,16442.774960644252,26996.33762315836,optimal,optimal,1351.2650173204559,1199.9999999999998,1.00000761449337e-07
2025-03-22,00:00,143,0.0,515.0757666666667,0.0,0.0,0.0,0.95,0.5,14,16442.774960644252,26996.33762315836,optimal,optimal,1351.2650173204559,1199.9999999999998,1.00000761449337e-07
2025-03-22,00:00,144,0.0,583.050563115002,0.0,0.0,0.0,0.95,0.5,14,16442.774960644252,26996.33762315836,optimal,optimal,1351.2650173204559,1199.9999999999998,1.00000761449337e-07
2025-03-22,06:00,37,0.0,0.0,0.0,0.0,0.0,0.95,0.5,14,-106.55428367536739,21046.340010064214,optimal,optimal,4774.712308091198,1199.9999999999998,9.999997985232767e-08
2025-03-22,06:00,38,0.0,0.0,0.0,0.0,0.0,0.95,0.5,14,-106.55428367536739,21046.340010064214,optimal,optimal,4774.712308091198,1199.9999999999998,9.999997985232767e-08
2025-03-22,06:00,39,0.0,0.0,0.0,0.0,0.0,0.95,0.5,14,-106.55428367536739,21046.340010064214,optimal,optimal,4774.712308091198,1199.9999999999998,9.999997985232767e-08
2025-03-22,06:00,40,0.0,0.0,0.0,0.0,0.0,0.95,0.5,14,-106.55428367536739,21046.340010064214,optimal,optimal,4774.712308091198,1199.9999999999998,9.999997985232767e-08
2025-03-22,06:00,41,0.0,0.0,0.0,0.0,0.0,0.95,0.5,14,-106.55428367536739,21046.340010064214,optimal,optimal,4774.712308091198,1199.9999999999998,9.999997985232767e-08
2025-03-22,06:00,42,0.0,0.0,0.0,0.0,0.0,0.95,0.5,14,-106.55428367536739,21046.340010064214,optimal,optimal,4774.712308091198,1199.9999999999998,9.999997985232767e-08
2025-03-22,06:00,43,0.0,0.0,0.0,0.0,0.0,0.95,0.5,14,-106.55428367536739,21046.340010064214,optimal,optimal,4774.712308091198,1199.9999999999998,9.999997985232767e-08
2025-03-22,06:00,44,0.0,0.0,0.0,0.0,0.0,0.95,0.5,14,-106.55428367536739,21046.340010064214,optimal,optimal,4774.712308091198,1199.9999999999998,9.999997985232767e-08
2025-03-22,06:00,45,0.0,0.0,0.0,0.0,0.0,0.95,0.5,14,-106.55428367536739,21046.340010064214,optimal,optimal,4774.712308091198,1199.9999999999998,9.999997985232767e-08
2025-03-22,06:00,46,0.0,0.0,0.0,0.0,0.0,0.95,0.5,14,-106.55428367536739,21046.340010064214,optimal,optimal,4774.712308091198,1199.9999999999998,9.999997985232767e-08
2025-03-22,06:00,47,0.0,0.0,0.0,0.0,0.0,0.95,0.5,14,-106.55428367536739,21046.340010064214,optimal,optimal,4774.712308091198,1199.9999999999998,9.999997985232767e-08
2025-03-22,06:00,48,0.0,0.0,0.0,0.0,0.0,0.95,0.5,14,-106.55428367536739,21046.340010064214,optimal,optimal,4774.712308091198,1199.9999999999998,9.999997985232767e-08
2025-03-22,06:00,49,0.0,0.0,0.0,0.0,0.0,0.95,0.5,14,-106.55428367536739,21046.340010064214,optimal,optimal,4774.712308091198,1199.9999999999998,9.999997985232767e-08
2025-03-22,06:00,50,0.0,0.0,0.0,0.0,0.0,0.95,0.5,14,-106.55428367536739,21046.340010064214,optimal,optimal,4774.712308091198,1199.9999999999998,9.999997985232767e-08
2025-03-22,06:00,51,0.0,0.0,0.0,0.0,0.0,0.95,0.5,14,-106.55428367536739,21046.340010064214,optimal,optimal,4774.712308091198,1199.9999999999998,9.999997985232767e-08
2025-03-22,06:00,52,0.0,0.0,0.0,0.0,0.0,0.95,0.5,14,-106.55428367536739,21046.340010064214,optimal,optimal,4774.712308091198,1199.9999999999998,9.999997985232767e-08
2025-03-22,06:00,53,0.0,0.0,0.0,0.0,0.0,0.95,0.5,14,-106.55428367536739,21046.340010064214,optimal,optimal,4774.712308091198,1199.9999999999998,9.999997985232767e-08
2025-03-22,06:00,54,0.0,0.0,0.0,0.0,0.0,0.95,0.5,14,-106.55428367536739,21046.340010064214,optimal,optimal,4774.712308091198,1199.9999999999998,9.999997985232767e-08
2025-03-22,06:00,55,0.0,0.0,0.0,0.0,0.0,0.95,0.5,14,-106.55428367536739,21046.340010064214,optimal,optimal,4774.712308091198,1199.9999999999998,9.999997985232767e-08
2025-03-22,06:00,56,0.0,0.0,0.0,0.0,0.0,0.95,0.5,14,-106.55428367536739,21046.340010064214,optimal,optimal,4774.712308091198,1199.9999999999998,9.999997985232767e-08
2025-03-22,06:00,57,0.0,0.0,0.0,0.0,0.0,0.95,0.5,14,-106.55428367536739,21046.340010064214,optimal,optimal,4774.712308091198,1199.9999999999998,9.999997985232767e-08
2025-03-22,06:00,58,0.0,0.0,0.0,0.0,0.0,0.95,0.5,14,-106.55428367536739,21046.340010064214,optimal,optimal,4774.712308091198,1199.9999999999998,9.999997985232767e-08
2025-03-22,06:00,59,0.0,0.0,0.0,0.0,0.0,0.95,0.5,14,-106.55428367536739,21046.340010064214,optimal,optimal,4774.712308091198,1199.9999999999998,9.999997985232767e-08
2025-03-22,06:00,60,0.0,0.0,0.0,0.0,0.0,0.95,0.5,14,-106.55428367536739,21046.340010064214,optimal,optimal,4774.712308091198,1199.9999999999998,9.999997985232767e-08
2025-03-22,06:00,61,0.0,0.0,0.0,0.0,0.0,0.95,0.5,14,-106.55428367536739,21046.340010064214,optimal,optimal,4774.712308091198,1199.9999999999998,9.999997985232767e-08
2025-03-22,06:00,62,0.0,0.0,0.0,0.0,0.0,0.95,0.5,14,-106.55428367536739,21046.340010064214,optimal,optimal,4774.712308091198,1199.9999999999998,9.999997985232767e-08
2025-03-22,06:00,63,0.0,0.0,0.0,0.0,0.0,0.95,0.5,14,-106.55428367536739,21046.340010064214,optimal,optimal,4774.712308091198,1199.9999999999998,9.999997985232767e-08
