date,run_label,alpha,lambda,soc_start_kwh,scenario_count_00,soc_00_kwh,plan_primary_status_00,plan_secondary_status_00,plan_cost_00_yuan,increase_00_kwh,decrease_00_kwh,scenario_count_06,soc_06_kwh,plan_primary_status_06,plan_secondary_status_06,adjustment_cost_06_yuan,increase_06_kwh,decrease_06_kwh,rho_06,scenario_count_12,soc_12_kwh,plan_primary_status_12,plan_secondary_status_12,adjustment_cost_12_yuan,increase_12_kwh,decrease_12_kwh,rho_12,scenario_count_18,soc_18_kwh,plan_primary_status_18,plan_secondary_status_18,adjustment_cost_18_yuan,increase_18_kwh,decrease_18_kwh,rho_18,soc_end_kwh,soc_min_kwh,soc_max_kwh,adjustment_cost_total_yuan,actual_emergency_purchase_kwh,actual_emergency_cost_yuan,total_actual_cost_yuan,emergency_slot_count,actual_throughput_kwh,simultaneous_slots,max_constraint_violation
2025-03-20,TEST / REFERENCE ONLY,0.95,0.5,6000.0,14,6000.0,optimal,optimal,42332.33241634632,0.0,0.0,14,9246.839497407413,optimal,optimal,-1833.3627196360471,333.8745501425775,7467.778309908769,0.5534805697044803,14,5408.885437615348,optimal,optimal,326.05713626815776,409.5710893622386,0.0,0.6529613453245442,14,10456.840434627358,optimal,optimal,353.2835854925645,261.2897645017758,0.0,0.5,1324.979515732263,1200.0,10456.840434627358,-1154.0219978753248,620.0461961398356,2143.4109256658103,43321.72134413681,8,33253.74352675753,0,1.0000252359532169e-07
2025-03-21,TEST / REFERENCE ONLY,0.95,0.5,1324.979515732263,14,1324.979515732263,optimal,optimal,15285.424150014176,0.0,0.0,14,3722.834212962963,optimal,optimal,153.84885216681437,343.91335201071195,576.9407360971118,0.5401286105414042,14,10272.675705686992,optimal,optimal,75.99650199545356,71.00730616576377,88.20300802902366,0.6582630896959252,14,9658.310601851847,optimal,optimal,421.2850427607711,256.9064571519607,0.0,0.5,1351.2650173204559,1200.0,10459.806652515816,651.130396923039,127.97371440839643,489.2143709588087,16425.768917896025,7,26494.981508474135,0,1.0000712245528121e-07
2025-03-22,TEST / REFERENCE ONLY,0.95,0.5,1351.2650173204559,14,1351.2650173204559,optimal,optimal,16442.774960644252,0.0,0.0,14,4774.712308091198,optimal,optimal,-106.55428367536739,0.0,248.82376508333127,0.5894160965675708,14,10167.468439022696,optimal,optimal,-143.4444216590808,12.966269817195325,357.52236144685173,0.6778761296245728,14,9846.086278901417,optimal,optimal,325.2036392296942,181.03721618519305,0.0,0.5,1320.674143119569,1278.760987532446,10558.198417563353,75.20493389524603,3.4160524459631305e-07,1.4000057163779274e-06,16517.979895939505,0,26586.286331461866,0,1.0000712245528121e-07
