date,run_label,soc_start_kwh,soc_end_kwh,soc_min_kwh,soc_max_kwh,plan_cost_00_yuan,predicted_plan_cost_00_yuan,adjustment_cost_total_yuan,actual_emergency_cost_yuan,actual_emergency_purchase_kwh,total_actual_cost_yuan,emergency_slot_count,actual_throughput_kwh,simultaneous_slots,max_constraint_violation
2025-03-20,Q4 SMOKE / TEST ONLY,6000.0,5986.710584747432,1220.1624145708693,10691.002214364022,42527.997156540405,43027.85908819195,0.0,1837.9224194131123,418.65646196331414,44365.91957595352,11,38493.394186085534,0,1.00000761449337e-07
2025-03-21,Q4 SMOKE / TEST ONLY,5986.710584747432,5986.710584647432,1256.9210037987725,10800.0,12049.22714787794,11957.46185235232,0.0,221.08886762804872,120.84561862832967,12270.316015505989,5,32004.933419914072,0,1.0000258043874055e-07
2025-03-22,Q4 SMOKE / TEST ONLY,5986.710584647432,5939.503755204155,1502.7656275925842,10618.469243641977,12510.138066666786,12427.224283619593,0.0,225.03551823334877,70.65722192063996,12735.173584900134,3,31874.52564468036,0,1.0000258043874055e-07
