date,run_label,alpha,lambda,soc_start_kwh,scenario_count_00,soc_00_kwh,plan_primary_status_00,plan_secondary_status_00,plan_cost_00_yuan,increase_00_kwh,decrease_00_kwh,scenario_count_06,soc_06_kwh,plan_primary_status_06,plan_secondary_status_06,adjustment_cost_06_yuan,increase_06_kwh,decrease_06_kwh,rho_06,scenario_count_12,soc_12_kwh,plan_primary_status_12,plan_secondary_status_12,adjustment_cost_12_yuan,increase_12_kwh,decrease_12_kwh,rho_12,scenario_count_18,soc_18_kwh,plan_primary_status_18,plan_secondary_status_18,adjustment_cost_18_yuan,increase_18_kwh,decrease_18_kwh,rho_18,soc_end_kwh,soc_min_kwh,soc_max_kwh,adjustment_cost_total_yuan,actual_emergency_purchase_kwh,actual_emergency_cost_yuan,total_actual_cost_yuan,emergency_slot_count,actual_throughput_kwh,simultaneous_slots,max_constraint_violation,actual_primary_status,actual_secondary_status,actual_tertiary_status
2025-02-01,ANNUAL REFERENCE ONLY,0.8,1.0,6000.0,2,6000.0,optimal,optimal,21719.94543355953,0.0,0.0,2,9642.039444444446,optimal,optimal,-984.1827128643608,0.0,3016.4040319831397,0.6203361283146992,2,7124.128017037038,optimal,optimal,-75.30368939828156,0.0,195.58070701927647,0.5219275667876406,2,10197.944476851852,optimal,optimal,-30.973470065879933,0.0,62.756499171064675,0.5,1200.0000001,1200.0000001,10800.000000000002,-1090.4598723285224,31.888854328660436,115.43195186618786,20744.917513097193,2,30842.755403720676,0,1.0000030670198612e-07,optimal,optimal,optimal
2025-02-02,ANNUAL REFERENCE ONLY,0.8,1.0,1200.0000001,3,1200.0000001,optimal,optimal,57517.54812983771,0.0,0.0,3,10771.232306534283,optimal,optimal,-1230.9051505970278,9.157730099887885,3718.2643555472596,0.630420805544078,3,7656.592467969518,optimal,optimal,-331.9317058289896,29.538682461222265,1163.922857492762,0.5328440473078151,3,10800.0,optimal,optimal,1e-07,1.579777944547571e-07,-1.1368683772161603e-13,0.5,1225.0407358320551,1200.0000001,10800.0,-1562.8368563260174,12.212987546772625,26.459437518749873,55981.17071103045,1,40766.17092579085,0,1.000043994281441e-07,optimal,optimal,optimal
2025-02-03,ANNUAL REFERENCE ONLY,0.8,1.0,1225.0407358320551,4,1225.0407358320551,optimal,optimal,59093.48325071195,0.0,0.0,4,10794.161419753089,optimal,optimal,-1626.7411086854927,0.0,4624.542503463725,0.6081206271476367,4,7638.409423039332,optimal,optimal,-515.3194351759673,0.0,1537.895757489103,0.5188848576958215,4,10786.822222222223,optimal,optimal,22.27663809999573,11.859999999998896,0.0,0.5,1277.7602025957517,1225.0407358320551,10800.000000000002,-2119.7839057614647,104.40272012886243,391.4275183615578,57365.12686331205,6,41442.29992096973,0,1.0002258932217956e-07,optimal,optimal,optimal
2025-02-04,ANNUAL REFERENCE ONLY,0.8,1.0,1277.7602025957517,5,1277.7602025957517,optimal,optimal,60971.522305154365,0.0,0.0,5,10799.999999999998,optimal,optimal,-1334.8143194555169,159.7802744378369,4231.801876667063,0.604213286359979,5,7942.732885092671,optimal,optimal,-848.0840445519361,0.0,2483.7646664543954,0.5361436228440177,5,10792.654320987655,optimal,optimal,12.417650100003051,6.611111111110802,0.0,0.5,1274.1064432698436,1274.1064432698436,10800.0,-2170.48071390745,83.70572715419613,223.29167144809873,59024.333262695014,6,42191.69591485086,0,1.0000712791224942e-07,optimal,optimal,optimal
2025-02-05,ANNUAL REFERENCE ONLY,0.8,1.0,1274.1064432698436,6,1274.1064432698436,optimal,optimal,57353.28572830621,0.0,0.0,6,10800.0,optimal,optimal,-267.18698224363544,336.8706296869674,1899.7964132361942,0.6073189178332172,6,7057.38118332164,optimal,optimal,-408.12690788340194,0.0,1094.7274017502318,0.5500793609993078,6,10800.000000000002,optimal,optimal,1e-07,2.1627885116566735e-07,1.751877968965586e-07,0.5,1277.087736885722,1274.1064432698436,10800.000000000002,-675.3138900270375,134.38244404142176,426.8030190967586,57104.77485737594,7,42260.00712870621,0,1.0001076589105651e-07,optimal,optimal,optimal
2025-02-06,ANNUAL REFERENCE ONLY,0.8,1.0,1277.087736885722,7,1277.087736885722,optimal,optimal,61391.93015291432,0.0,0.0,7,10797.222530864196,optimal,optimal,-1815.5893762732453,0.0,4965.723174539942,0.6235349872124988,7,7765.6333975336265,optimal,optimal,-1117.3476043010094,0.0,3153.4712019701374,0.5707119684648804,7,10796.047530864198,optimal,optimal,6.681530599990914,3.5572222222231424,1.2505552149377763e-12,0.5,1278.7043781571924,1277.087736885722,10800.0,-2926.2554499742637,106.1639473700991,232.25368047291937,58697.928383412975,4,41791.39170873584,0,1.0000962902267929e-07,optimal,optimal,optimal
2025-02-07,ANNUAL REFERENCE ONLY,0.8,1.0,1278.7043781571924,8,1278.7043781571924,optimal,optimal,23851.720728373577,0.0,0.0,8,10018.20918856481,optimal,optimal,-910.8759252884272,0.0,3046.168995338814,0.6423505795163891,8,7397.719001932886,optimal,optimal,-478.1107802929009,0.0,1639.8628938071192,0.6644873138638798,8,9857.922070987655,optimal,optimal,-9.330032625282763,2.1627473868971008e-07,18.90392627240096,0.5,1320.8816027725682,1210.2488996913573,10800.0,-1398.3167382066108,107.51145435483437,426.83224206877065,22880.236232235737,4,35506.697576749124,0,1.0000576367019676e-07,optimal,optimal,optimal
2025-02-08,ANNUAL REFERENCE ONLY,0.8,1.0,1320.8816027725682,9,1320.8816027725682,optimal,optimal,19424.548034831714,0.0,0.0,9,8242.78749719927,optimal,optimal,-104.94118497429983,7.326614365056514,294.7452128425027,0.6251944679866634,9,7403.960153865937,optimal,optimal,-22.44188726024624,0.9439153216314935,56.56841389229983,0.7212701175370082,9,9849.687000841885,optimal,optimal,180.92621674656235,125.93790892067346,35.08105583333514,0.5,1340.9964118699256,1268.093527777773,10800.0,53.54314451201628,247.8558042287973,880.165282031045,20358.256461374775,15,34607.40362036855,0,1.0000803740695119e-07,optimal,optimal,optimal
2025-02-09,ANNUAL REFERENCE ONLY,0.8,1.0,1340.9964118699256,10,1340.9964118699256,optimal,optimal,56985.85712554536,0.0,0.0,10,10798.012861111112,optimal,optimal,-768.4629026791162,0.36215565518421045,1818.4737788712846,0.6518986649382474,10,8071.035553913798,optimal,optimal,-699.8100620893536,1.316063368296227,2184.3392496498486,0.7139956059165149,10,10767.603727927324,optimal,optimal,21.80114135739783,18.44831153207531,15.398746906124199,0.5,1294.772563116267,1290.434279907404,10800.000000000002,-1446.4718234110717,125.97083898409294,472.0152935238912,56011.40059565818,6,41305.68219981941,0,1.0000803740695119e-07,optimal,optimal,optimal
2025-02-10,ANNUAL REFERENCE ONLY,0.8,1.0,1294.772563116267,11,1294.772563116267,optimal,optimal,54050.670767942516,0.0,0.0,11,10166.123414552472,optimal,optimal,-2221.285385539967,0.302668587834205,6211.445603563929,0.632296215923355,11,7605.153757887789,optimal,optimal,334.8105051345399,486.38974544611017,791.7726682287677,0.7122470447481396,11,10800.0,optimal,optimal,-11.562962377346446,0.0,28.820693294277824,0.5,1204.7374252454224,1204.7374252454224,10800.000000000002,-1898.0378427827736,202.711682477926,482.7860116731455,52635.41893683289,4,40904.57599266882,0,1.0002258932217956e-07,optimal,optimal,optimal
2025-02-11,ANNUAL REFERENCE ONLY,0.8,1.0,1204.7374252454224,12,1204.7374252454224,optimal,optimal,54941.78268913884,0.0,0.0,12,9885.878620370368,optimal,optimal,-1713.5635435201266,0.05186519627159214,4468.022090392037,0.6087291375097827,12,6734.128055948089,optimal,optimal,-696.6548579705568,0.0,1839.0598780526957,0.7061748899852236,12,10800.0,optimal,optimal,-11.1824309563934,0.0,27.04084567519322,0.5,1268.9469032395027,1200.0,10800.0,-2421.400832447077,680.1319924307128,2116.5810487997132,54636.96290549148,18,42618.47186958191,0,1.0000803740695119e-07,optimal,optimal,optimal
